pārbaudījums nosaukums,Izglītības iestāde,Kopvērtējums,Kārtotāju skaits
Eksāmens angļu valodā 9.klasei 9. klase,Daugavpils 13. vidusskola,55.26,68
Eksāmens angļu valodā 9.klasei 9. klase,Daugavpils 15. vidusskola,58.31,70
Eksāmens angļu valodā 9.klasei 9. klase,Daugavpils 16. vidusskola,65.27,47
Eksāmens angļu valodā 9.klasei 9. klase,Daugavpils 17. vidusskola,56.36,14
Eksāmens angļu valodā 9.klasei 9. klase,Daugavpils 3. vidusskola,67.92,66
Eksāmens angļu valodā 9.klasei 9. klase,Daugavpils 9. vidusskola,66.32,53
Eksāmens angļu valodā 9.klasei 9. klase,Daugavpils Centra vidusskola,64.63,40
Eksāmens angļu valodā 9.klasei 9. klase,Daugavpils Saskaņas pamatskola,69.89,44
Eksāmens angļu valodā 9.klasei 9. klase,Daugavpils Tehnoloģiju vidusskola - licejs,79.49,58
Eksāmens angļu valodā 9.klasei 9. klase,Daugavpils Valsts ģimnāzija,78.42,19
Eksāmens angļu valodā 9.klasei 9. klase,Daugavpils Vienības pamatskola,66.44,9
Eksāmens angļu valodā 9.klasei 9. klase,Daugmales pamatskola,83.50,11
Eksāmens angļu valodā 9.klasei 9. klase,Dāvja Ozoliņa Apes pamatskola,70.56,16
Eksāmens angļu valodā 9.klasei 9. klase,Degumnieku pamatskola,75.25,8
Eksāmens angļu valodā 9.klasei 9. klase,Dekšāru pamatskola,79.88,4
Eksāmens angļu valodā 9.klasei 9. klase,Dienvidkurzemes 2. vidusskola,63.20,5
Eksāmens angļu valodā 9.klasei 9. klase,Dignājas pamatskola,67.50,1
Eksāmens angļu valodā 9.klasei 9. klase,Dobeles 1. vidusskola,69.22,30
Eksāmens angļu valodā 9.klasei 9. klase,Dobeles Amatniecības un vispārizglītojošā vidusskola,69.83,3
Eksāmens angļu valodā 9.klasei 9. klase,Dobeles Valsts ģimnāzija,83.35,48
Eksāmens angļu valodā 9.klasei 9. klase,Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,83.86,21
Eksāmens angļu valodā 9.klasei 9. klase,Draudzīgā aicinājuma Liepājas pilsētas 5. vidusskola,78.59,66
Eksāmens angļu valodā 9.klasei 9. klase,Dricānu vidusskola,65.31,8
Eksāmens angļu valodā 9.klasei 9. klase,Drustu struktūrvienība,62.67,3
Eksāmens angļu valodā 9.klasei 9. klase,Druvas vidusskola,78.25,42
Eksāmens angļu valodā 9.klasei 9. klase,Dundagas vidusskola,67.20,20
Eksāmens angļu valodā 9.klasei 9. klase,Dzelzavas pamatskola,66.90,5
Eksāmens angļu valodā 9.klasei 9. klase,Dzērbenes vispārizglītojošā un mūzikas pamatskola,64.00,1
Eksāmens angļu valodā 9.klasei 9. klase,Dzērves pamatskola,83.41,11
Eksāmens angļu valodā 9.klasei 9. klase,Džūkstes pamatskola,60.64,7
Eksāmens angļu valodā 9.klasei 9. klase,Edgara Kauliņa Lielvārdes vidusskola,82.18,36
Eksāmens angļu valodā 9.klasei 9. klase,Ēdoles pamatskola,62.75,6
Eksāmens angļu valodā 9.klasei 9. klase,Eglaines pamatskola,67.30,5
Eksāmens angļu valodā 9.klasei 9. klase,Elejas vidusskola,73.88,16
Eksāmens angļu valodā 9.klasei 9. klase,Emīla Dārziņa mūzikas skola,76.71,38
Eksāmens angļu valodā 9.klasei 9. klase,Engures vidusskola,80.95,20
Eksāmens angļu valodā 9.klasei 9. klase,Ērģemes pamatskola,69.00,2
Eksāmens angļu valodā 9.klasei 9. klase,Ērgļu vidusskola,71.74,19
Eksāmens angļu valodā 9.klasei 9. klase,Ernsta Glika Alūksnes Valsts ģimnāzija,81.25,52
Eksāmens angļu valodā 9.klasei 9. klase,Ezeres pamatskola,79.50,9
Eksāmens angļu valodā 9.klasei 9. klase,Friča Brīvzemnieka pamatskola,77.48,20
Eksāmens angļu valodā 9.klasei 9. klase,Gaigalavas pamatskola,70.13,4
Eksāmens angļu valodā 9.klasei 9. klase,Galēnu pamatskola,77.25,2
Eksāmens angļu valodā 9.klasei 9. klase,Gardenes pamatskola,63.75,4
Eksāmens angļu valodā 9.klasei 9. klase,Garkalnes Mākslu un vispārizglītojošā pamatskola,81.35,13
Eksāmens angļu valodā 9.klasei 9. klase,Garlība Merķeļa Lēdurgas pamatskola,72.13,8
Eksāmens angļu valodā 9.klasei 9. klase,Garozas pamatskola,54.83,3
Eksāmens angļu valodā 9.klasei 9. klase,Griķu pamatskola,72.44,9
Eksāmens angļu valodā 9.klasei 9. klase,Grundzāles pamatskola,81.64,7
Eksāmens angļu valodā 9.klasei 9. klase,Gulbenes novada vidusskola,74.49,77
Eksāmens angļu valodā 9.klasei 9. klase,Gulbīša pamatskola,52.60,10
Eksāmens angļu valodā 9.klasei 9. klase,Iecavas pamatskola,69.68,11
Eksāmens angļu valodā 9.klasei 9. klase,Iecavas vidusskola,81.91,52
Eksāmens angļu valodā 9.klasei 9. klase,Ikšķiles vidusskola,84.07,87
Eksāmens angļu valodā 9.klasei 9. klase,Iļģuciema vidusskola,83.45,31
Eksāmens angļu valodā 9.klasei 9. klase,Ilmāra Gaiša Kokneses vidusskola,76.16,31
Eksāmens angļu valodā 9.klasei 9. klase,Ilūkstes Raiņa vidusskola,64.97,18
Eksāmens angļu valodā 9.klasei 9. klase,Inčukalna pamatskola,67.90,10
Eksāmens angļu valodā 9.klasei 9. klase,"Informācijas sistēmu menedžmenta augstskolas vidusskola ""PREMJERS""",58.21,7
Eksāmens angļu valodā 9.klasei 9. klase,Irlavas pamatskola,70.60,10
Eksāmens angļu valodā 9.klasei 9. klase,Īslīces pamatskola,75.65,10
Eksāmens angļu valodā 9.klasei 9. klase,J. Čakstes Liepājas pilsētas 10. vidusskola,76.48,51
Eksāmens angļu valodā 9.klasei 9. klase,J. Endzelīna Kauguru pamatskola,80.00,10
Eksāmens angļu valodā 9.klasei 9. klase,J. Raiņa Daugavpils 6. pamatskola,39.06,16
Eksāmens angļu valodā 9.klasei 9. klase,J.G.Herdera Rīgas Grīziņkalna vidusskola,59.09,48
Eksāmens angļu valodā 9.klasei 9. klase,J.Pilsudska Daugavpils valsts poļu ģimnāzija,63.60,24
Eksāmens angļu valodā 9.klasei 9. klase,Jāņa Eglīša Preiļu Valsts ģimnāzija,66.33,6
Eksāmens angļu valodā 9.klasei 9. klase,Jankas Kupalas Rīgas Baltkrievu pamatskola,70.65,10
Eksāmens angļu valodā 9.klasei 9. klase,Jaunannas Mūzikas un mākslas pamatskola,56.75,2
Eksāmens angļu valodā 9.klasei 9. klase,Jaunciema pamatskola,80.75,4
Eksāmens angļu valodā 9.klasei 9. klase,Jaunjelgavas vidusskola,72.86,11
Eksāmens angļu valodā 9.klasei 9. klase,Jaunmārupes pamatskola,84.65,48
Eksāmens angļu valodā 9.klasei 9. klase,Jauno Līderu vidusskola,83.94,8
Eksāmens angļu valodā 9.klasei 9. klase,Jaunogres vidusskola,45.40,60
Eksāmens angļu valodā 9.klasei 9. klase,Jaunpiebalgas vidusskola,73.91,23
Eksāmens angļu valodā 9.klasei 9. klase,Jaunpils vidusskola,78.33,15
Eksāmens angļu valodā 9.klasei 9. klase,Jaunsilavas pamatskola,71.08,6
Eksāmens angļu valodā 9.klasei 9. klase,Jēkabpils 2. vidusskola,56.35,42
Eksāmens angļu valodā 9.klasei 9. klase,Jēkabpils 3. vidusskola,78.91,34
Eksāmens angļu valodā 9.klasei 9. klase,Jēkabpils Valsts ģimnāzija,84.45,79
Eksāmens angļu valodā 9.klasei 9. klase,Jelgavas 4. vidusskola,70.42,60
Eksāmens angļu valodā 9.klasei 9. klase,Jelgavas 5. vidusskola,60.90,42
Eksāmens angļu valodā 9.klasei 9. klase,Jelgavas Amatu vidusskola,55.62,13
Eksāmens angļu valodā 9.klasei 9. klase,Jelgavas Centra pamatskola,73.26,23
Eksāmens angļu valodā 9.klasei 9. klase,Jelgavas novada Neklātienes vidusskola,73.38,8
Eksāmens angļu valodā 9.klasei 9. klase,"Jelgavas pamatskola ""Valdeka"" - attīstības centrs",48.75,2
Eksāmens angļu valodā 9.klasei 9. klase,Jelgavas Pārlielupes pamatskola,52.51,54
Eksāmens angļu valodā 9.klasei 9. klase,Jelgavas Spīdolas Valsts ģimnāzija,84.09,87
Eksāmens angļu valodā 9.klasei 9. klase,Jelgavas Tehnoloģiju vidusskola,75.95,55
Eksāmens angļu valodā 9.klasei 9. klase,Jelgavas Valsts ģimnāzija,83.13,118
Eksāmens angļu valodā 9.klasei 9. klase,Jersikas pamatskola,87.25,2
Eksāmens angļu valodā 9.klasei 9. klase,Jumpravas pamatskola,76.79,7
Eksāmens angļu valodā 9.klasei 9. klase,Jura Neikena Dikļu pamatskola,50.80,5
Eksāmens angļu valodā 9.klasei 9. klase,JŪRMALA,75.14,7
Eksāmens angļu valodā 9.klasei 9. klase,Jūrmalas Aspazijas pamatskola,82.30,10
Eksāmens angļu valodā 9.klasei 9. klase,Jūrmalas Jaundubultu vidusskola,61.06,34
Eksāmens angļu valodā 9.klasei 9. klase,Jūrmalas Kauguru vidusskola,61.72,50
Eksāmens angļu valodā 9.klasei 9. klase,Jūrmalas Ķemeru pamatskola,76.25,10
Eksāmens angļu valodā 9.klasei 9. klase,Jūrmalas Majoru vidusskola,87.50,29
Eksāmens angļu valodā 9.klasei 9. klase,Jūrmalas Mežmalas vidusskola,53.59,35
Eksāmens angļu valodā 9.klasei 9. klase,Jūrmalas Pumpuru vidusskola,79.58,44
Eksāmens angļu valodā 9.klasei 9. klase,Jūrmalas Slokas pamatskola,73.11,9
Eksāmens angļu valodā 9.klasei 9. klase,Jūrmalas Vaivaru pamatskola,74.14,11
Eksāmens angļu valodā 9.klasei 9. klase,Jūrmalas Valsts ģimnāzija,83.56,44
Eksāmens angļu valodā 9.klasei 9. klase,Kalētu Mūzikas un mākslas pamatskola,65.75,6
Eksāmens angļu valodā 9.klasei 9. klase,Kalnciema pagasta vidusskola,78.50,3
Eksāmens angļu valodā 9.klasei 9. klase,Kalnciema vidusskola,72.79,14
Eksāmens angļu valodā 9.klasei 9. klase,Kalsnavas pamatskola,63.00,5
Eksāmens angļu valodā 9.klasei 9. klase,Kalupes pamatskola,69.00,1
Eksāmens angļu valodā 9.klasei 9. klase,Kalvenes pamatskola,60.83,6
Eksāmens angļu valodā 9.klasei 9. klase,Kandavas Kārļa Mīlenbaha vidusskola,71.79,47
Eksāmens angļu valodā 9.klasei 9. klase,Kandavas Reģionālā pamatskola,57.96,14
Eksāmens angļu valodā 9.klasei 9. klase,Kārsavas vidusskola,76.50,3
Eksāmens angļu valodā 9.klasei 9. klase,Kaunatas vidusskola,47.33,9
Eksāmens angļu valodā 9.klasei 9. klase,Ķeguma vidusskola,81.63,28
Eksāmens angļu valodā 9.klasei 9. klase,Ķeipenes pamatskola,81.88,4
Eksāmens angļu valodā 9.klasei 9. klase,Ķekavas vidusskola,82.14,93
Eksāmens angļu valodā 9.klasei 9. klase,Kocēnu pamatskola,77.50,21
Eksāmens angļu valodā 9.klasei 9. klase,Kolkas pamatskola,78.00,4
Eksāmens angļu valodā 9.klasei 9. klase,Krāslavas ģimnāzija,67.97,19
Eksāmens angļu valodā 9.klasei 9. klase,Krāslavas gr. Plāteru v.n. Poļu pamatskola,45.93,7
