pārbaudījums nosaukums,Izglītības iestāde,Kopvērtējums,Kārtotāju skaits
Eksāmens krievu valodā 9.klasei 9. klase,Gardenes pamatskola,80.85,10
Eksāmens krievu valodā 9.klasei 9. klase,Garkalnes Mākslu un vispārizglītojošā pamatskola,87.15,10
Eksāmens krievu valodā 9.klasei 9. klase,Garlība Merķeļa Lēdurgas pamatskola,77.50,2
Eksāmens krievu valodā 9.klasei 9. klase,Garozas pamatskola,81.17,3
Eksāmens krievu valodā 9.klasei 9. klase,Griķu pamatskola,63.83,3
Eksāmens krievu valodā 9.klasei 9. klase,Gulbenes novada vidusskola,78.58,19
Eksāmens krievu valodā 9.klasei 9. klase,Iecavas pamatskola,57.60,5
Eksāmens krievu valodā 9.klasei 9. klase,Iecavas vidusskola,84.32,19
Eksāmens krievu valodā 9.klasei 9. klase,Ikšķiles vidusskola,90.50,4
Eksāmens krievu valodā 9.klasei 9. klase,Iļģuciema vidusskola,91.70,5
Eksāmens krievu valodā 9.klasei 9. klase,Ilmāra Gaiša Kokneses vidusskola,68.75,6
Eksāmens krievu valodā 9.klasei 9. klase,Ilūkstes Raiņa vidusskola,78.20,27
Eksāmens krievu valodā 9.klasei 9. klase,Inčukalna pamatskola,73.50,4
Eksāmens krievu valodā 9.klasei 9. klase,Indras pamatskola,87.63,4
Eksāmens krievu valodā 9.klasei 9. klase,Irlavas pamatskola,76.00,3
Eksāmens krievu valodā 9.klasei 9. klase,Īslīces pamatskola,80.83,3
Eksāmens krievu valodā 9.klasei 9. klase,J. Čakstes Liepājas pilsētas 10. vidusskola,85.50,7
Eksāmens krievu valodā 9.klasei 9. klase,J. Endzelīna Kauguru pamatskola,80.50,3
Eksāmens krievu valodā 9.klasei 9. klase,Jāņa Eglīša Preiļu Valsts ģimnāzija,89.23,11
Eksāmens krievu valodā 9.klasei 9. klase,Jaunciema pamatskola,83.33,3
Eksāmens krievu valodā 9.klasei 9. klase,Jaunjelgavas vidusskola,86.90,5
Eksāmens krievu valodā 9.klasei 9. klase,Jaunmārupes pamatskola,88.63,4
Eksāmens krievu valodā 9.klasei 9. klase,Jauno Līderu vidusskola,90.50,1
Eksāmens krievu valodā 9.klasei 9. klase,Jaunpiebalgas vidusskola,68.50,4
Eksāmens krievu valodā 9.klasei 9. klase,Jaunpils vidusskola,81.83,3
Eksāmens krievu valodā 9.klasei 9. klase,Jaunsilavas pamatskola,83.00,1
Eksāmens krievu valodā 9.klasei 9. klase,Jēkabpils 3. vidusskola,86.70,32
Eksāmens krievu valodā 9.klasei 9. klase,Jēkabpils Valsts ģimnāzija,84.40,25
Eksāmens krievu valodā 9.klasei 9. klase,Jelgavas 4. vidusskola,85.93,21
Eksāmens krievu valodā 9.klasei 9. klase,Jelgavas Amatu vidusskola,72.06,18
Eksāmens krievu valodā 9.klasei 9. klase,Jelgavas Centra pamatskola,83.91,11
Eksāmens krievu valodā 9.klasei 9. klase,Jelgavas cietums,81.25,2
Eksāmens krievu valodā 9.klasei 9. klase,Jelgavas novada Neklātienes vidusskola,78.33,3
Eksāmens krievu valodā 9.klasei 9. klase,"Jelgavas pamatskola ""Valdeka"" - attīstības centrs",70.00,1
Eksāmens krievu valodā 9.klasei 9. klase,Jelgavas Spīdolas Valsts ģimnāzija,96.25,10
Eksāmens krievu valodā 9.klasei 9. klase,Jelgavas Tehnoloģiju vidusskola,82.59,16
Eksāmens krievu valodā 9.klasei 9. klase,Jelgavas Valsts ģimnāzija,88.02,24
Eksāmens krievu valodā 9.klasei 9. klase,Jersikas pamatskola,85.33,6
Eksāmens krievu valodā 9.klasei 9. klase,Jumpravas pamatskola,89.50,3
Eksāmens krievu valodā 9.klasei 9. klase,Jura Neikena Dikļu pamatskola,72.88,4
Eksāmens krievu valodā 9.klasei 9. klase,JŪRMALA,79.00,2
Eksāmens krievu valodā 9.klasei 9. klase,Jūrmalas Aspazijas pamatskola,91.50,1
Eksāmens krievu valodā 9.klasei 9. klase,Jūrmalas Ķemeru pamatskola,80.00,5
Eksāmens krievu valodā 9.klasei 9. klase,Jūrmalas Majoru vidusskola,85.86,11
Eksāmens krievu valodā 9.klasei 9. klase,Jūrmalas Pumpuru vidusskola,92.40,5
Eksāmens krievu valodā 9.klasei 9. klase,Jūrmalas Slokas pamatskola,85.88,16
Eksāmens krievu valodā 9.klasei 9. klase,Jūrmalas Vaivaru pamatskola,86.63,4
Eksāmens krievu valodā 9.klasei 9. klase,Jūrmalas Valsts ģimnāzija,89.85,17
Eksāmens krievu valodā 9.klasei 9. klase,Kalētu Mūzikas un mākslas pamatskola,62.50,3
Eksāmens krievu valodā 9.klasei 9. klase,Kalnciema pagasta vidusskola,87.07,7
Eksāmens krievu valodā 9.klasei 9. klase,Kalnciema vidusskola,76.94,8
Eksāmens krievu valodā 9.klasei 9. klase,Kalsnavas pamatskola,64.50,4
Eksāmens krievu valodā 9.klasei 9. klase,Kalupes pamatskola,84.00,1
Eksāmens krievu valodā 9.klasei 9. klase,Kandavas Kārļa Mīlenbaha vidusskola,45.00,1
Eksāmens krievu valodā 9.klasei 9. klase,Kandavas Reģionālā pamatskola,69.25,2
Eksāmens krievu valodā 9.klasei 9. klase,Kārsavas vidusskola,84.15,20
Eksāmens krievu valodā 9.klasei 9. klase,Kaunatas vidusskola,78.85,10
Eksāmens krievu valodā 9.klasei 9. klase,Ķeguma vidusskola,88.71,7
Eksāmens krievu valodā 9.klasei 9. klase,Ķekavas vidusskola,76.00,8
Eksāmens krievu valodā 9.klasei 9. klase,Kocēnu pamatskola,71.67,3
Eksāmens krievu valodā 9.klasei 9. klase,Kolkas pamatskola,61.00,1
Eksāmens krievu valodā 9.klasei 9. klase,Krāslavas ģimnāzija,85.63,31
Eksāmens krievu valodā 9.klasei 9. klase,Krimuldas vidusskola,72.56,8
Eksāmens krievu valodā 9.klasei 9. klase,Krustpils pamatskola,84.27,11
Eksāmens krievu valodā 9.klasei 9. klase,Kusas pamatskola,78.50,1
Eksāmens krievu valodā 9.klasei 9. klase,Lapmežciema pamatskola,96.50,1
Eksāmens krievu valodā 9.klasei 9. klase,Latvijas Zinātņu tālmācības vidusskola,81.17,6
Eksāmens krievu valodā 9.klasei 9. klase,Lazdonas pamatskola,49.00,1
Eksāmens krievu valodā 9.klasei 9. klase,Lēdmanes pamatskola,65.67,3
Eksāmens krievu valodā 9.klasei 9. klase,Lejasciema vidusskola,83.00,2
Eksāmens krievu valodā 9.klasei 9. klase,Lielvārdes pamatskola,85.63,12
Eksāmens krievu valodā 9.klasei 9. klase,Liepājas 8. vidusskola,80.14,11
Eksāmens krievu valodā 9.klasei 9. klase,Liepājas Katoļu pamatskola,88.00,3
Eksāmens krievu valodā 9.klasei 9. klase,Liepājas Raiņa 6. vidusskola,94.31,8
Eksāmens krievu valodā 9.klasei 9. klase,Liepājas Valsts 1. ģimnāzija,92.19,8
Eksāmens krievu valodā 9.klasei 9. klase,Liepas pamatskola,88.30,10
Eksāmens krievu valodā 9.klasei 9. klase,Limbažu Valsts ģimnāzija,90.75,2
Eksāmens krievu valodā 9.klasei 9. klase,Līvānu 1. vidusskola,76.81,8
Eksāmens krievu valodā 9.klasei 9. klase,Līvbērzes pamatskola,83.25,2
Eksāmens krievu valodā 9.klasei 9. klase,Lizuma vidusskola,86.00,1
Eksāmens krievu valodā 9.klasei 9. klase,Lubānas vidusskola,44.00,1
Eksāmens krievu valodā 9.klasei 9. klase,Lūcijas Rancānes Makašānu Amatu vidusskola,80.90,5
Eksāmens krievu valodā 9.klasei 9. klase,Ludzas 2. vidusskola,82.25,6
Eksāmens krievu valodā 9.klasei 9. klase,Ludzas pilsētas vidusskola,83.09,27
Eksāmens krievu valodā 9.klasei 9. klase,Lutriņu pamatskola,84.00,1
Eksāmens krievu valodā 9.klasei 9. klase,Madlienas vidusskola,93.38,4
Eksāmens krievu valodā 9.klasei 9. klase,Madonas pilsētas vidusskola,77.00,8
Eksāmens krievu valodā 9.klasei 9. klase,Madonas Valsts ģimnāzija,76.80,5
Eksāmens krievu valodā 9.klasei 9. klase,Malienas pamatskola,92.50,1
Eksāmens krievu valodā 9.klasei 9. klase,Mālpils vidusskola,88.38,4
Eksāmens krievu valodā 9.klasei 9. klase,Maltas vidusskola,82.18,11
Eksāmens krievu valodā 9.klasei 9. klase,Mārupes pamatskola,86.39,9
Eksāmens krievu valodā 9.klasei 9. klase,Mārupes Valsts ģimnāzija,84.81,8
Eksāmens krievu valodā 9.klasei 9. klase,Māteru Jura Kazdangas pamatskola,85.50,1
Eksāmens krievu valodā 9.klasei 9. klase,Matīšu pamatskola,70.10,5
Eksāmens krievu valodā 9.klasei 9. klase,Mazsalacas vidusskola,90.00,1
Eksāmens krievu valodā 9.klasei 9. klase,Mazzalves pamatskola,79.00,1
Eksāmens krievu valodā 9.klasei 9. klase,Meņģeles filiāle,44.00,1
Eksāmens krievu valodā 9.klasei 9. klase,Mērdzenes pamatskola,79.83,3
Eksāmens krievu valodā 9.klasei 9. klase,Mērsraga vidusskola,54.50,1
Eksāmens krievu valodā 9.klasei 9. klase,Mežāres pamatskola,82.25,2
Eksāmens krievu valodā 9.klasei 9. klase,Mežciema pamatskola,85.83,3
Eksāmens krievu valodā 9.klasei 9. klase,Mežinieku pamatskola,79.42,6
Eksāmens krievu valodā 9.klasei 9. klase,Mežvidu pamatskola,92.17,3
Eksāmens krievu valodā 9.klasei 9. klase,Misas pamatskola,84.25,4
Eksāmens krievu valodā 9.klasei 9. klase,Mores pamatskola,83.17,3
Eksāmens krievu valodā 9.klasei 9. klase,Murjāņu sporta ģimnāzija,88.33,3
Eksāmens krievu valodā 9.klasei 9. klase,Naujenes pamatskola,89.33,9
Eksāmens krievu valodā 9.klasei 9. klase,Nautrēnu vidusskola,78.65,10
Eksāmens krievu valodā 9.klasei 9. klase,Neretas Jāņa Jaunsudrabiņa vidusskola,72.25,2
Eksāmens krievu valodā 9.klasei 9. klase,Nīcas vidusskola,93.50,1
Eksāmens krievu valodā 9.klasei 9. klase,Nīkrāces pamatskola,49.67,3
Eksāmens krievu valodā 9.klasei 9. klase,O.Kalpaka Rīgas Tautas daiļamatu pamatskola,94.83,3
Eksāmens krievu valodā 9.klasei 9. klase,Ogres 1. vidusskola,90.42,13
Eksāmens krievu valodā 9.klasei 9. klase,Ogres Valsts ģimnāzija,86.50,13
Eksāmens krievu valodā 9.klasei 9. klase,Ogresgala pamatskola,72.00,2
Eksāmens krievu valodā 9.klasei 9. klase,Ojāra Vācieša Gaujienas pamatskola,69.25,2
Eksāmens krievu valodā 9.klasei 9. klase,Olaines 1. vidusskola,86.94,16
Eksāmens krievu valodā 9.klasei 9. klase,Oskara Kalpaka Liepājas 15. vidusskola,81.86,22
Eksāmens krievu valodā 9.klasei 9. klase,Ozolnieku vidusskola,84.00,8
Eksāmens krievu valodā 9.klasei 9. klase,Pāles pamatskola,67.75,2
Eksāmens krievu valodā 9.klasei 9. klase,Palsmanes pamatskola,77.00,2
Eksāmens krievu valodā 9.klasei 9. klase,Pamūšas speciālā pamatskola,61.25,2
Eksāmens krievu valodā 9.klasei 9. klase,Pededzes pamatskola,87.57,7
Eksāmens krievu valodā 9.klasei 9. klase,Pelēču pamatskola,80.08,6
Eksāmens krievu valodā 9.klasei 9. klase,Pildas pamatskola,83.50,9
Eksāmens krievu valodā 9.klasei 9. klase,Pilsrundāles vidusskola,85.55,11
Eksāmens krievu valodā 9.klasei 9. klase,Pļaviņu vidusskola,80.29,12
Eksāmens krievu valodā 9.klasei 9. klase,Popes pamatskola,93.50,1
Eksāmens krievu valodā 9.klasei 9. klase,Preiļu 1. pamatskola,77.68,14
Eksāmens krievu valodā 9.klasei 9. klase,Priekules vidusskola,72.00,2
Eksāmens krievu valodā 9.klasei 9. klase,Priekuļu vidusskola,81.17,3
Eksāmens krievu valodā 9.klasei 9. klase,Priežmalas pamatskola,93.83,3
Eksāmens krievu valodā 9.klasei 9. klase,"Privātā vidusskola ""Citruss""",87.50,2
Eksāmens krievu valodā 9.klasei 9. klase,"Privātā vidusskola ""Laisma""",93.00,2
Eksāmens krievu valodā 9.klasei 9. klase,Privātā vidusskola Ādažu Brīvā Valdorfa skola,94.50,2
Eksāmens krievu valodā 9.klasei 9. klase,Pūņu pamatskola,94.00,1
Eksāmens krievu valodā 9.klasei 9. klase,Pūres pamatskola,90.17,3
Eksāmens krievu valodā 9.klasei 9. klase,Pušmucovas pamatskola,83.83,3
Eksāmens krievu valodā 9.klasei 9. klase,Rāmuļu pamatskola,72.00,1
Eksāmens krievu valodā 9.klasei 9. klase,Rankas pamatskola,71.00,1
Eksāmens krievu valodā 9.klasei 9. klase,Rencēnu pamatskola,55.67,3
Eksāmens krievu valodā 9.klasei 9. klase,Rēzeknes 4. vidusskola,80.50,2
Eksāmens krievu valodā 9.klasei 9. klase,Rēzeknes 5. vidusskola,87.57,21
Eksāmens krievu valodā 9.klasei 9. klase,Rēzeknes pamatskola-attīstības centrs,70.00,2
Eksāmens krievu valodā 9.klasei 9. klase,Rēzeknes Valsts 1. ģimnāzija,89.88,36
Eksāmens krievu valodā 9.klasei 9. klase,Rēznas pamatskola,88.38,4
Eksāmens krievu valodā 9.klasei 9. klase,Riebiņu vidusskola,81.81,8
Eksāmens krievu valodā 9.klasei 9. klase,Rīgas 1. Kristīgā pamatskola,88.30,5
Eksāmens krievu valodā 9.klasei 9. klase,Rīgas 1. Tālmācības vidusskola,81.66,34
Eksāmens krievu valodā 9.klasei 9. klase,Rīgas 14. vidusskola,73.90,5
Eksāmens krievu valodā 9.klasei 9. klase,Rīgas 18. vidusskola,74.38,4
Eksāmens krievu valodā 9.klasei 9. klase,Rīgas 25. vidusskola,78.58,25
Eksāmens krievu valodā 9.klasei 9. klase,Rīgas 28. vidusskola,87.17,9
Eksāmens krievu valodā 9.klasei 9. klase,Rīgas 31. vidusskola,81.81,8
Eksāmens krievu valodā 9.klasei 9. klase,Rīgas 41. vidusskola,78.14,7
Eksāmens krievu valodā 9.klasei 9. klase,Rīgas 45. vidusskola,89.09,11
Eksāmens krievu valodā 9.klasei 9. klase,Rīgas 47. vidusskola,85.25,4
Eksāmens krievu valodā 9.klasei 9. klase,Rīgas 49. vidusskola,89.33,3
Eksāmens krievu valodā 9.klasei 9. klase,Rīgas 6. vidusskola,84.50,5
Eksāmens krievu valodā 9.klasei 9. klase,Rīgas 64. vidusskola,83.72,9
Eksāmens krievu valodā 9.klasei 9. klase,Rīgas 69. pamatskola,87.73,7
Eksāmens krievu valodā 9.klasei 9. klase,Rīgas 84. vidusskola,90.41,11
Eksāmens krievu valodā 9.klasei 9. klase,Rīgas 85. vidusskola,78.83,3
Eksāmens krievu valodā 9.klasei 9. klase,Rīgas 9. vidusskola,81.50,5
Eksāmens krievu valodā 9.klasei 9. klase,Rīgas 93. vidusskola,81.45,11
Eksāmens krievu valodā 9.klasei 9. klase,Rīgas Bolderājas Jaunā pamatskola,85.56,9
Eksāmens krievu valodā 9.klasei 9. klase,Rīgas Centra daiļamatniecības pamatskola,90.25,2
Eksāmens krievu valodā 9.klasei 9. klase,Rīgas Hanzas vidusskola,82.57,7
Eksāmens krievu valodā 9.klasei 9. klase,Rīgas Imantas vidusskola,89.69,16
Eksāmens krievu valodā 9.klasei 9. klase,Rīgas Juglas vidusskola,89.56,8
Eksāmens krievu valodā 9.klasei 9. klase,Rīgas Katoļu ģimnāzija,92.67,3
Eksāmens krievu valodā 9.klasei 9. klase,Rīgas Kultūru vidusskola,92.88,4
Eksāmens krievu valodā 9.klasei 9. klase,Rīgas Natālijas Draudziņas vidusskola ,94.00,4
Eksāmens krievu valodā 9.klasei 9. klase,Rīgas Pļavnieku pamatskola,81.27,22
Eksāmens krievu valodā 9.klasei 9. klase,Rīgas Raiņa vidusskola,78.89,9
Eksāmens krievu valodā 9.klasei 9. klase,Rīgas Reinholda Šmēlinga vidusskola,67.10,5
Eksāmens krievu valodā 9.klasei 9. klase,Rīgas Reinholda Šmēlinga vidusskolas struktūrvienība - Rīgas Centrālcietums,76.17,6
Eksāmens krievu valodā 9.klasei 9. klase,Rīgas Sergeja Žoltoka pamatskola,86.10,5
Eksāmens krievu valodā 9.klasei 9. klase,Rīgas Tālmācības vidusskola,79.69,8
Eksāmens krievu valodā 9.klasei 9. klase,Rīgas Teikas vidusskola,91.00,2
Eksāmens krievu valodā 9.klasei 9. klase,Rīgas Ukraiņu vidusskola,92.83,6
Eksāmens krievu valodā 9.klasei 9. klase,Rīgas Valdorfskola,76.05,11
Eksāmens krievu valodā 9.klasei 9. klase,Rīgas Valsts 1. ģimnāzija,97.50,1
Eksāmens krievu valodā 9.klasei 9. klase,Rīgas Valsts 2. ģimnāzija,95.40,5
Eksāmens krievu valodā 9.klasei 9. klase,Rīgas Valsts 3. ģimnāzija,98.42,6
Eksāmens krievu valodā 9.klasei 9. klase,Rīgas Ziepniekkalna vidusskola,85.74,19
Eksāmens krievu valodā 9.klasei 9. klase,Robežnieku pamatskola,78.67,6
Eksāmens krievu valodā 9.klasei 9. klase,Rojas vidusskola,77.00,1
Eksāmens krievu valodā 9.klasei 9. klase,Ropažu vidusskola,73.00,10
Eksāmens krievu valodā 9.klasei 9. klase,Rožupes pamatskola,89.50,3
Eksāmens krievu valodā 9.klasei 9. klase,Rubeņu pamatskola,63.17,3
Eksāmens krievu valodā 9.klasei 9. klase,Rudzātu vidusskola,83.44,8
Eksāmens krievu valodā 9.klasei 9. klase,Rugāju vidusskola,76.25,2
Eksāmens krievu valodā 9.klasei 9. klase,Rūjienas vidusskola,65.50,1
Eksāmens krievu valodā 9.klasei 9. klase,Rušonas pamatskola,77.50,4
Eksāmens krievu valodā 9.klasei 9. klase,Sabiles pamatskola,49.00,1
Eksāmens krievu valodā 9.klasei 9. klase,Sakstagala Jāņa Klīdzēja pamatskola,82.00,8
Eksāmens krievu valodā 9.klasei 9. klase,Salacgrīvas vidusskola,89.25,2
Eksāmens krievu valodā 9.klasei 9. klase,Salas pamatskola,83.50,1
Eksāmens krievu valodā 9.klasei 9. klase,Salas vidusskola,89.50,5
Eksāmens krievu valodā 9.klasei 9. klase,"Salaspils novada pašvaldības iestāde ""Salaspils 1. vidusskola""",83.65,10
Eksāmens krievu valodā 9.klasei 9. klase,Salaspils pamatskola,84.25,6
Eksāmens krievu valodā 9.klasei 9. klase,Saldus pamatskola,88.25,2
Eksāmens krievu valodā 9.klasei 9. klase,Saldus vidusskola,77.50,4
Eksāmens krievu valodā 9.klasei 9. klase,Salgales pamatskola,72.33,6
Eksāmens krievu valodā 9.klasei 9. klase,Salnavas pamatskola,96.00,1
Eksāmens krievu valodā 9.klasei 9. klase,Saulkrastu novada vidusskola,86.58,13
Eksāmens krievu valodā 9.klasei 9. klase,Sējas pamatskola,83.83,3
Eksāmens krievu valodā 9.klasei 9. klase,Sesavas pamatskola,55.50,2
Eksāmens krievu valodā 9.klasei 9. klase,Siguldas 1. pamatskola,85.08,6
Eksāmens krievu valodā 9.klasei 9. klase,Siguldas pilsētas vidusskola,79.00,4
Eksāmens krievu valodā 9.klasei 9. klase,Siguldas Valsts ģimnāzija,95.00,2
Eksāmens krievu valodā 9.klasei 9. klase,Sikšņu pamatskola,41.50,1
Eksāmens krievu valodā 9.klasei 9. klase,Silenes pamatskola,85.80,5
Eksāmens krievu valodā 9.klasei 9. klase,Šķibes pamatskola,85.29,7
Eksāmens krievu valodā 9.klasei 9. klase,Skrundas vidusskola,83.50,1
Eksāmens krievu valodā 9.klasei 9. klase,Skujenes pamatskola,60.00,1
Eksāmens krievu valodā 9.klasei 9. klase,Smārdes pamatskola,88.00,1
Eksāmens krievu valodā 9.klasei 9. klase,Smiltenes vidusskola,56.50,1
Eksāmens krievu valodā 9.klasei 9. klase,"Sociālās korekcijas izglītības iestāde ""Naukšēni""",64.00,1
Eksāmens krievu valodā 9.klasei 9. klase,Špoģu vidusskola,85.50,6
Eksāmens krievu valodā 9.klasei 9. klase,Stacijas pamatskola,71.13,4
Eksāmens krievu valodā 9.klasei 9. klase,Staiceles pamatskola,71.75,2
Eksāmens krievu valodā 9.klasei 9. klase,Stalbes pamatskola,91.00,2
Eksāmens krievu valodā 9.klasei 9. klase,Staļģenes vidusskola,85.50,8
Eksāmens krievu valodā 9.klasei 9. klase,Stelpes pamatskola,89.00,1
Eksāmens krievu valodā 9.klasei 9. klase,Strautiņu pamatskola,53.50,1
Eksāmens krievu valodā 9.klasei 9. klase,Strenču pamatskola,82.83,3
Eksāmens krievu valodā 9.klasei 9. klase,Suntažu vidusskola,86.00,2
Eksāmens krievu valodā 9.klasei 9. klase,Sūnu pamatskola,79.81,8
Eksāmens krievu valodā 9.klasei 9. klase,Sventes vidusskola,85.30,5
Eksāmens krievu valodā 9.klasei 9. klase,Svētes pamatskola,76.25,2
Eksāmens krievu valodā 9.klasei 9. klase,"Tālmācības vidusskola ""Rīgas 1. vidusskola""",80.94,27
Eksāmens krievu valodā 9.klasei 9. klase,"Tālmācības vidusskola ""Rīgas Komercskola""",90.17,9
Eksāmens krievu valodā 9.klasei 9. klase,Talsu 2. vidusskola,62.00,3
Eksāmens krievu valodā 9.klasei 9. klase,Talsu Kristīgā vidusskola,93.75,2
Eksāmens krievu valodā 9.klasei 9. klase,Talsu Valsts ģimnāzija,88.75,2
Eksāmens krievu valodā 9.klasei 9. klase,Tārgales pamatskola,73.63,4
Eksāmens krievu valodā 9.klasei 9. klase,Taurupes pamatskola,93.00,1
Eksāmens krievu valodā 9.klasei 9. klase,Teteles pamatskola,91.50,2
Eksāmens krievu valodā 9.klasei 9. klase,Tilžas vidusskola,83.33,3
Eksāmens krievu valodā 9.klasei 9. klase,Tirzas pamatskola,79.00,3
Eksāmens krievu valodā 9.klasei 9. klase,Torņakalna Privātā vidusskola,60.00,1
Eksāmens krievu valodā 9.klasei 9. klase,Tukuma 2. vidusskola,80.50,4
Eksāmens krievu valodā 9.klasei 9. klase,Tukuma 3. pamatskola,70.80,5
Eksāmens krievu valodā 9.klasei 9. klase,Tukuma E. Birznieka-Upīša 1. pamatskola,76.00,1
Eksāmens krievu valodā 9.klasei 9. klase,Tukuma Raiņa Valsts ģimnāzija,92.67,3
Eksāmens krievu valodā 9.klasei 9. klase,Tumes pamatskola,82.83,3
Eksāmens krievu valodā 9.klasei 9. klase,Turlavas pamatskola,41.50,1
Eksāmens krievu valodā 9.klasei 9. klase,Ugāles vidusskola,93.67,3
Eksāmens krievu valodā 9.klasei 9. klase,Umurgas pamatskola,81.00,3
Eksāmens krievu valodā 9.klasei 9. klase,Universum mūzikas un mākslas vidusskola,84.40,5
Eksāmens krievu valodā 9.klasei 9. klase,Užavas pamatskola,80.50,3
Eksāmens krievu valodā 9.klasei 9. klase,Uzvaras pamatskola,77.92,6
Eksāmens krievu valodā 9.klasei 9. klase,V. Plūdoņa Kuldīgas vidusskola,89.67,6
Eksāmens krievu valodā 9.klasei 9. klase,Vaboles vidusskola,76.64,7
Eksāmens krievu valodā 9.klasei 9. klase,Vaiņodes vidusskola,65.63,4
Eksāmens krievu valodā 9.klasei 9. klase,Valkas Jāņa Cimzes ģimnāzija,84.53,15
Eksāmens krievu valodā 9.klasei 9. klase,Valmieras 2. vidusskola,88.17,6
Eksāmens krievu valodā 9.klasei 9. klase,Valmieras 5. vidusskola,64.50,2
Eksāmens krievu valodā 9.klasei 9. klase,Valmieras Pārgaujas Valsts ģimnāzija,84.15,13
Eksāmens krievu valodā 9.klasei 9. klase,Valmieras Valsts ģimnāzija,91.50,4
Eksāmens krievu valodā 9.klasei 9. klase,Valmieras Viestura vidusskola,78.50,3
Eksāmens krievu valodā 9.klasei 9. klase,Vangažu vidusskola,98.50,1
Eksāmens krievu valodā 9.klasei 9. klase,Varakļānu vidusskola,86.67,6
Eksāmens krievu valodā 9.klasei 9. klase,Vārkavas vidusskola,87.50,3
Eksāmens krievu valodā 9.klasei 9. klase,Vecpiebalgas vidusskola,61.75,4
Eksāmens krievu valodā 9.klasei 9. klase,Vecsaules pamatskola,64.50,1
Eksāmens krievu valodā 9.klasei 9. klase,Vecumnieku vidusskola,88.42,6
Eksāmens krievu valodā 9.klasei 9. klase,Ventspils 1. pamatskola,84.50,1
Eksāmens krievu valodā 9.klasei 9. klase,Ventspils 2. pamatskola,94.00,1
Eksāmens krievu valodā 9.klasei 9. klase,Ventspils 4. vidusskola,81.50,1
Eksāmens krievu valodā 9.klasei 9. klase,Ventspils 6. vidusskola,92.00,3
Eksāmens krievu valodā 9.klasei 9. klase,Ventspils Pārventas pamatskola,86.30,5
Eksāmens krievu valodā 9.klasei 9. klase,Ventspils Valsts 1. ģimnāzija,99.08,6
Eksāmens krievu valodā 9.klasei 9. klase,Verēmu pamatskola,83.55,10
Eksāmens krievu valodā 9.klasei 9. klase,Viduču pamatskola,90.67,3
Eksāmens krievu valodā 9.klasei 9. klase,Viesītes vidusskola,77.25,4
Eksāmens krievu valodā 9.klasei 9. klase,Viļakas Valsts ģimnāzija,70.60,5
Eksāmens krievu valodā 9.klasei 9. klase,Viļānu vidusskola,87.18,17
Eksāmens krievu valodā 9.klasei 9. klase,Vilces pamatskola,64.50,3
Eksāmens krievu valodā 9.klasei 9. klase,Vīpes pamatskola,71.67,3
Eksāmens krievu valodā 9.klasei 9. klase,Vircavas vidusskola,86.27,13
Eksāmens krievu valodā 9.klasei 9. klase,Z.A. Meierovica Kabiles pamatskola,66.50,1
Eksāmens krievu valodā 9.klasei 9. klase,Zaļenieku komerciālā un amatniecības vidusskola,77.17,3
Eksāmens krievu valodā 9.klasei 9. klase,Zantes pamatskola,43.00,2
Eksāmens krievu valodā 9.klasei 9. klase,Zasas vidusskola,67.13,4
Eksāmens krievu valodā 9.klasei 9. klase,Zemgales vidusskola,67.83,3
Eksāmens krievu valodā 9.klasei 9. klase,Zentas Mauriņas Grobiņas vidusskola,78.33,6
Eksāmens krievu valodā 9.klasei 9. klase,Ziemeļvalstu ģimnāzija,83.19,8
Eksāmens krievu valodā 9.klasei 9. klase,Ziemeru pamatskola,84.00,1
Eksāmens krievu valodā 9.klasei 9. klase,Žīguru pamatskola,70.00,2
Eksāmens krievu valodā 9.klasei 9. klase,Zilupes vidusskola,91.25,12
Eksāmens krievu valodā 9.klasei 9. klase,Zūru pamatskola,86.00,1
Eksāmens latviešu valoda 9.klasei 9. klase,Ābeļu pamatskola,60.37,11
Eksāmens latviešu valoda 9.klasei 9. klase,Ādažu vidusskola,65.17,97
Eksāmens latviešu valoda 9.klasei 9. klase,Āgenskalna Valsts ģimnāzija,70.55,115
Eksāmens latviešu valoda 9.klasei 9. klase,Aglonas Katoļu ģimnāzija,54.91,5
Eksāmens latviešu valoda 9.klasei 9. klase,Aglonas vidusskola,59.58,12
Eksāmens latviešu valoda 9.klasei 9. klase,Aizkraukles novada vidusskola,67.48,60
Eksāmens latviešu valoda 9.klasei 9. klase,Aizputes pagasta pamatskola,60.42,12
Eksāmens latviešu valoda 9.klasei 9. klase,Aizputes vidusskola,73.15,38
Eksāmens latviešu valoda 9.klasei 9. klase,Aizupes pamatskola,62.59,10
Eksāmens latviešu valoda 9.klasei 9. klase,Aknīstes vidusskola,69.04,17
Eksāmens latviešu valoda 9.klasei 9. klase,Alekseja Grāvīša Liepnas pamatskola,68.32,10
Eksāmens latviešu valoda 9.klasei 9. klase,Allažu pamatskola,60.63,13
Eksāmens latviešu valoda 9.klasei 9. klase,Alojas Ausekļa vidusskola,65.80,12
Eksāmens latviešu valoda 9.klasei 9. klase,Alsungas pamatskola,60.00,10
Eksāmens latviešu valoda 9.klasei 9. klase,Alūksnes novada vidusskola,55.63,13
Eksāmens latviešu valoda 9.klasei 9. klase,Amatas pamatskola,70.06,7
Eksāmens latviešu valoda 9.klasei 9. klase,Ances pamatskola,61.29,6
