Novads/republikas pilsēta,Iestādes reģistrācijas Nr.,Iestādes nosaukums,Iestādes veids,Iestādes tips,Pakļautība,Adreses ATVK kods,Pedagogu skaits (unikālie PK),"Pedagoģisko amatu vietu skaits, no tiem:",Arodmācības skolotājs/amatmācības skolotājs,Direktora vietnieks (izglītības jomā),Direktors (izglītības jomā),Diriģents,Horeogrāfs,Interešu izglītības skolotājs,"Internāta, dienesta viesnīcas skolotājs",Izglītības iestādes bibliotekārs,Izglītības iestādes bibliotekārs (ceturtā un trešā līmeņa kvalifikācija),Izglītības iestādes muzeju pedagogs,Izglītības metodiķis,Izglītības psihologs,Koncertmeistars,Pagarinātās dienas grupas skolotājs,Pamatdarbības struktūrvienības vadītāja vietnieks/ direktora vietnieks (izglītības jomā),Pamatdarbības struktūrvienības VADĪTĀJS/ DIREKTORS (izglītības jomā),Pedagoga palīgs,Pedagogs karjeras konsultants,Pirmsskolas izglītības metodiķis,Pirmsskolas izglītības mūzikas skolotājs,Pirmsskolas izglītības skolotājs,Pirmsskolas izglītības sporta skolotājs,Profesionālās ievirzes skolotājs,Profesionālās izglītības skolotājs,Sākumizglītības skolotājs,Skolas direktora vietnieks,Skolas direktors,Skolotājs baleta mākslinieks,Skolotājs logopēds,Skolotājs mentors,Sociālais pedagogs,Speciālais pedagogs,Speciālās izglītības skolotājs,Sporta organizators,Sporta treneris,Sporta treneris ,Vadītāja vietnieks (izglītības jomā),Vadītāja vietnieks/direktora vietnieks (izglītības jomā),Vadītājs (izglītības jomā),Vadītājs/direktors (izglītības jomā),Vispārējās pamatizglītības skolotājs,Vispārējās vidējās izglītības skolotājs
Pavisam valstī:,,,,,,,38611,,1,215,22,2,1,5250,1275,731,25,57,482,463,452,2100,41,101,1013,152,174,911,9570,659,644,2766,743,776,511,23,1116,13,421,423,1246,277,17,38,59,1192,47,606,13079,7692
AGLONAS NOVADS,4201900395,Aglonas novada pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,604342,11,11,,,,,,,,,,,,,,,,,,,,1,8,,,,,,,,1,,,,,,,,,,,1,,
AGLONAS NOVADS,4212902579,Priežmalas pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,604372,17,26,,,,,,4,,,,,,1,,1,,,,,,1,2,,,,,,1,,1,,,,,,,,,1,,,14,
AGLONAS NOVADS,4213800388,Aglonas Katoļu ģimnāzija,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Juridiska vai fiziska persona,604342,14,14,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,5,7
AGLONAS NOVADS,4213900381,Aglonas vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,604342,30,68,,,,,,9,,1,,,2,1,,4,,,,,,,,,,,12,3,1,,1,,1,,,,,,,,,,18,15
AIZKRAUKLES NOVADS,4501901768,"Aizkraukles pilsētas pirmsskolas izglītības iestāde ""Auseklītis""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,320201,14,14,,,,,,1,,,,,,,,,,,,,,1,8,1,,,,,,,2,,,,,,,,,,,1,,
AIZKRAUKLES NOVADS,4501901773,"Aizkraukles pilsētas pirmsskolas izglītības iestāde ""Zīlīte""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,320201,30,31,,,,,,,,,,,,,,,,,,,1,2,23,2,,,,,,,1,,1,,,,,,,,,1,,
AIZKRAUKLES NOVADS,4501903388,"Aizkraukles pilsētas pirmsskolas izglītības iestāde ""Saulīte""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,320201,17,19,,,,,,,,,,,,,,,,,,,1,1,11,1,,,,,,,2,,,1,1,,,,,,,1,,
AIZKRAUKLES NOVADS,4511900989,Aizkraukles pagasta sākumskola,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,Pašvaldība ,320244,21,29,,,,,,3,,1,,,,1,,,,,1,,1,2,4,1,,,10,,1,,1,,1,,1,,,,,1,,,,
AIZKRAUKLES NOVADS,4513903124,Aizkraukles novada vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,320201,92,151,,,,,,19,1,3,,,,3,,16,,,20,1,,,,,,,13,1,,,2,,2,1,,,,,,7,,1,45,16
AIZKRAUKLES NOVADS,4531002881,Aizkraukles Profesionālā vidusskola,Profesionālās pamata un vidējās izglītības iestāde,Profesionālās vidējās izglītības iestāde,Izglītības un zinātnes ministrija,320201,36,59,,1,,,,9,1,1,,,1,,,,,1,,,,,,,,25,,,1,,,,1,,,1,,,,2,,,,15
AIZPUTES NOVADS,4101901752,"Kazdangas pirmsskolas izglītības iestāde ""Ezītis""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,640668,7,7,,,,,,,,,,,,,,,,,,,,1,4,,,,,,,,1,,,,,,,,,,,1,,
AIZPUTES NOVADS,4101901754,"Cīravas pirmsskolas izglītības iestāde ""Pīlādzītis""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,640648,9,9,,,,,,,,,,,,,,,,,,,,1,6,,,,,,,,1,,,,,,,,,,,1,,
AIZPUTES NOVADS,4101901761,"Aizputes pirmsskolas izglītības iestāde ""Pasaciņa""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,640605,33,36,,,,,,,,,,,,,,,,,,,,3,25,2,,,,,,,2,,1,1,,,,,,1,,1,,
AIZPUTES NOVADS,4112901019,Māteru Jura Kazdangas pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,640668,18,42,,,,,,10,,1,,,2,,,5,,,1,1,,,,,,,,,1,,1,,1,,,,,,,2,,,17,
AIZPUTES NOVADS,4112901020,Kalvenes pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,640666,16,28,,,,,,5,,1,,,,,,3,,,,1,,,1,,,,,,1,,1,,1,,,,,,,1,,,13,
AIZPUTES NOVADS,4112901027,Dzērves pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,640648,18,28,,1,,,,5,,,,,,,,4,,,,,,,,,,,,,1,,1,,,,,,,,,,,,16,
AIZPUTES NOVADS,4112901031,Aizputes pagasta pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,640642,19,29,,,,,,5,,1,,,,,,2,,,,1,,1,1,,,,,,1,,1,,1,,,,,,,,,,15,
AIZPUTES NOVADS,4113901044,Aizputes vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,640605,61,84,,,,,,11,,3,,,,1,,,,,4,2,,,4,,,,2,4,1,,1,,1,1,,,,,,,,,28,21
AIZPUTES NOVADS,4113903289,Aizputes novada vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,640605,43,51,,,,,,,,1,,,,,,,,,,1,,,,,,,,7,1,,,,,,,,,,,,,,3,38
AIZPUTES NOVADS,4122901035,Padures pamatskola,Speciālās izglītības iestāde,Speciālā pamatskola,Pašvaldība ,640672,26,71,,,,,,7,13,1,,,,,,,,,13,,,,,,,9,,2,1,,1,,1,3,20,,,,,,,,,
AKNĪSTES NOVADS,4501900305,"Aknīstes novada pašvaldības pirmsskolas izglītības iestāde ""Bitīte""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,560805,15,16,,,,,,1,,,,,1,,,,,,,,,1,10,1,,,,,,,1,,,,,,,,,,,1,,
AKNĪSTES NOVADS,4513900255,Aknīstes vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,560805,25,46,,,,,,10,,1,,,,1,,3,,,4,1,,,,,,,2,2,1,,1,,1,,,,,,,,,,9,10
ALOJAS NOVADS,4301900542,"Alojas pilsētas pirmsskolas izglītības iestāde ""Auseklītis""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,661007,18,20,,,,,,,,,,,,,,,,,,,1,1,15,,,,,,,,1,,1,,,,,,,,,1,,
ALOJAS NOVADS,4312903245,Staiceles pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,661017,29,40,,,,,,5,,1,,,,,,2,,,,,1,1,4,1,,,,,1,,1,,1,,1,,,,,1,,,20,
ALOJAS NOVADS,4313900157,Alojas Ausekļa vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,661007,35,46,,,,,,5,,2,,,,1,1,,,,3,,,,,,,,,2,1,,1,,1,,,,,,,,,,27,2
ALSUNGAS NOVADS,4101901410,"Alsungas pirmsskolas izglītības iestāde ""Miķelītis""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,624200,11,12,,,,,,,,,,,,,,,,,,,,1,8,1,,,,,,,1,,,,,,,,,,,1,,
ALSUNGAS NOVADS,4113901196,Alsungas vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,624200,21,29,,1,,,,5,,1,,,,,,3,,,,,,,,,,,,,1,,1,,,,,,,,,,,,8,9
ALŪKSNES NOVADS,4401901481,"Alūksnes pirmsskolas izglītības iestāde ""Sprīdītis""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,360201,30,30,,,,,,,,,,,,,,,,,,,,2,22,2,,,,,,,2,,,,,,,,,1,,1,,
ALŪKSNES NOVADS,4401901484,"Alsviķu pirmsskolas izglītības iestāde ""Saulīte""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,360242,7,7,,,,,,,,,,,,,,,,,,,,1,4,,,,,,,,1,,,,,,,,,,,1,,
ALŪKSNES NOVADS,4401901485,"Jaunalūksnes pirmsskolas izglītības iestāde ""Pūcīte""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,360256,7,7,,,,,,,,,,,,,,,,,,,,1,4,,,,,,,,1,,,,,,,,,,,1,,
ALŪKSNES NOVADS,4401901486,"Alūksnes pirmsskolas izglītības iestāde ""Pienenīte""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,360201,21,21,,,,,,,,,,,,,,,,,,,,2,14,1,,,,,,,2,,,,,,,,,1,,1,,
ALŪKSNES NOVADS,4401903404,"Alūksnes pirmsskolas izglītības iestāde ""Cālis""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,360201,11,11,,,,,,,,,,,,1,,,,,,,,1,5,1,,,,,,,2,,,,,,,,,,,1,,
ALŪKSNES NOVADS,4401903405,"Malienas pirmsskolas izglītības iestāde ""Mazputniņš""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,360272,8,12,,,,,,,,,,,,,,,,,,,,,8,1,,,,,,,1,,,1,,,,,,,1,,,
ALŪKSNES NOVADS,4411900920,Alūksnes pilsētas sākumskola,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,Pašvaldība ,360201,36,43,,,,,,3,,1,,,,1,,,,,,,,,,,,,2,,1,,2,,,,,,,,,3,,,30,
ALŪKSNES NOVADS,4412900906,Strautiņu pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,360242,16,24,,,,,,5,,,,,,,,,,,,,,1,3,,,,,1,1,,1,,,,,,,,,,,,12,
ALŪKSNES NOVADS,4412900908,Malienas pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,360272,17,24,,,,,,5,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,,,,,,,,,16,
ALŪKSNES NOVADS,4412900909,Bejas pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,360256,18,32,,,,,,6,2,,,,,,,,,,3,,,1,1,,,,,,1,,2,,,,,,,,,,,,16,
ALŪKSNES NOVADS,4412900912,Pededzes pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,360280,16,25,,,,,,5,,,,,,,,,,,1,,,,3,,,,,,1,,1,,,,,,,,,,,,14,
ALŪKSNES NOVADS,4412900914,Ziemeru pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,360296,21,29,,,,,,5,,,,,,,,,,,,,,1,5,,,,,,1,,1,,,2,,,,,,,,,14,
ALŪKSNES NOVADS,4412902908,Jaunannas Mūzikas un mākslas pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,360258,28,39,,,,,,3,,,,,,,,,,,3,,,1,2,,15,,,,1,,,,,,,,,,,1,,,13,
ALŪKSNES NOVADS,4412903320,Alekseja Grāvīša Liepnas pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,360268,18,28,,,,,,5,2,1,,,,,,,,,1,,,,1,,,,,,1,,1,,,,,,,,,,,,16,
ALŪKSNES NOVADS,4413902870,Alūksnes novada vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,360201,32,50,,,,,,7,,1,,,1,,,,,,8,,,1,3,,,,2,,1,,1,,,,,,,,,1,,,8,16
ALŪKSNES NOVADS,4419900900,Ernsta Glika Alūksnes Valsts ģimnāzija,Vispārējās izglītības iestāde,Valsts ģimnāzija,Pašvaldība ,360201,43,59,,,,,,10,,2,,,1,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,1,,,6,36
AMATAS NOVADS,4412900316,Zaubes pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,424796,16,26,,,,,,4,,1,,,,,,,,,,,,,6,,,,,,1,,1,,,,,,,,,,,,13,
AMATAS NOVADS,4412900328,Amatas pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,424746,27,45,,,,,,9,,1,,,,,,4,,,,,,2,9,1,,,,,1,,1,,,,,,,,,2,,,15,
AMATAS NOVADS,4412903132,Amatas novada Skujenes pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,424778,18,35,,,,,,6,,1,,,,,,4,,,,,,1,5,1,,,,1,1,,1,,,,,,,,,,,,14,
AMATAS NOVADS,4412903194,Drabešu Jaunā pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,424746,35,49,,,,,,9,,1,,,1,1,,6,,,,,,1,8,1,,,6,,1,,2,,1,,,,,,,2,,,9,
AMATAS NOVADS,4413900335,Nītaures vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,424768,22,34,,1,,,,5,,1,,,,,,3,,,1,1,,1,2,,,,,,1,,1,,,,,,,,,,,,12,5
AMATAS NOVADS,4422900347,Amatas novada Spāres pamatskola,Speciālās izglītības iestāde,Speciālā pamatskola,Pašvaldība ,424742,43,74,,,,,,4,28,1,,,,1,,,,,8,,,,,,,,,2,1,,1,,1,,27,,,,,,,,,
APES NOVADS,4401901483,"Apes pirmsskolas izglītības iestāde ""Vāverīte""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,360805,8,10,,,,,,,,,,,,,,,,,,,,1,8,,,,,,,,1,,,,,,,,,,,,,
APES NOVADS,4411903171,Trapenes sākumskola,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,Pašvaldība ,360884,10,14,,,,,,4,,,,,,,,,,,,,,,2,,,,3,,1,,,,,,,,,,,,,,4,
APES NOVADS,4412903128,Ojāra Vācieša Gaujienas pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,360848,20,31,,,,,,6,,,,,,,,,,,,,,1,4,,,,1,3,1,,,,,,,,,,,,,,15,
APES NOVADS,4413900899,Dāvja Ozoliņa Apes vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,360805,30,54,,,,,,12,,,,,,,,,,,6,,,,3,,,,,3,1,,,,,,,,,,,1,,,23,5
APES NOVADS,4422900921,Gaujienas pamatskola,Speciālās izglītības iestāde,Speciālā pamatskola,Pašvaldība ,360848,20,32,,,,,,6,7,1,,,,1,,,,,,,,,,,,,,,1,,1,,1,,13,,,,,1,,,,
AUCES NOVADS,4501901576,"Auces novada pirmsskolas izglītības iestāde ""Vecauce""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,460825,12,13,,,,,,,,,,,,,,,,,,,1,1,8,,,,,,,,2,,,,,,,,,,,1,,
AUCES NOVADS,4501901577,"Auces novada pirmsskolas izglītības iestāde ""Pīlādzītis""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,460805,14,17,,,,,,,,,,,2,,,,,,,,,1,11,,,,,,,,2,,,,,,,,,,,1,,
AUCES NOVADS,4501901706,"Auces novada pirmsskolas izglītības iestāde ""Rūķīši""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,460850,9,10,,,,,,,,,,,1,,,,,,,,,1,6,,,,,,,,1,,,,,,,,,,,1,,
AUCES NOVADS,4513900884,Bēnes vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,460850,23,32,,,,,,6,,2,,,1,,,,,,,1,,,,,,,1,2,1,,,,,,,,,,,,,,7,11
AUCES NOVADS,4513900885,Auces vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,460805,49,89,,,,,,17,,2,,,,,,,,,3,,,2,2,1,,,6,,1,,2,,1,,11,,,,,5,,,13,23
ĀDAŽU NOVADS,4301802698,"Privātā pirmsskolas izglītības iestāde ""PASAKU VALSTĪBA""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Juridiska vai fiziska persona,804400,11,12,,,,,,,,,,,,1,,,,,,,1,,8,,,,,,,,1,,,,,,,,,,,1,,
ĀDAŽU NOVADS,4301901917,"Ādažu pirmsskolas izglītības iestāde ""Strautiņš""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,804400,46,46,,,,,,,,,,,,1,,,,,,,,1,37,2,,,,,,,3,,,,,,,,1,,1,,,
ĀDAŽU NOVADS,4301902762,Kadagas pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,804400,25,25,,,,,,,,,,,,1,,,,,,,,2,17,1,,,,,,,2,,,,,,,,,1,,1,,
ĀDAŽU NOVADS,4313800383,Privātā vidusskola Ādažu Brīvā Valdorfa skola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Juridiska vai fiziska persona,804400,40,45,,,,,,,,1,,,4,1,,,,,,,,,3,,,,5,,1,,,,,,1,,,,,,,,13,16
ĀDAŽU NOVADS,4313901280,Ādažu vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,804400,132,192,,1,,,,27,,2,,,3,4,,22,,1,5,3,,,,,,,,1,,,3,,3,6,,,,,,8,,,91,12
BABĪTES NOVADS,4301802704,"Privātā pirmsskolas izglītības iestāde ""LIESMIŅAS""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Juridiska vai fiziska persona,804948,3,4,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,1,,
BABĪTES NOVADS,4301802962,"Privātā pirmsskolas izglītības iestāde ""Varavīksnes putns""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Juridiska vai fiziska persona,804948,4,4,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
BABĪTES NOVADS,4301901949,"Babītes novada pirmsskolas izglītības iestāde ""Saimīte""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,804948,39,40,,,,,,1,,,,,,1,,,,,,,,2,29,2,,,,,,,1,,1,,,,,,,2,,1,,
BABĪTES NOVADS,4301902018,Babītes novada pašvaldības Babītes pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,804948,14,14,,,,,,,,,,,,1,,,,,,,,1,8,1,,,,,,,1,,,,,,,,,1,,1,,
BABĪTES NOVADS,4311802759,"Privātā sākumskola ""Vinnijs""",Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,Juridiska vai fiziska persona,804948,23,23,,1,1,,,,,,,,,,,,,,,,1,2,16,,,,,,,,1,,,1,,,,,,,,,,
BABĪTES NOVADS,4311902824,Babītes novada pašvaldības Salas sākumskola,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,Pašvaldība ,804988,25,35,,,,,,5,,,,,,1,,1,,,,,,1,9,,,,,1,1,,1,,,1,,1,,,,1,,,12,
BABĪTES NOVADS,4313803103,"Starptautiskā vidusskola ""Ekziperī""",Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Juridiska vai fiziska persona,804948,14,14,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,,,,,,,10,
BABĪTES NOVADS,4313901118,Babītes vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,804948,90,125,,,,,,18,,1,,,,1,1,17,,,2,1,,,,,,,,,1,,2,,2,2,,,,,,6,,,52,19
BALDONES NOVADS,4301901945,"Baldones pirmsskolas izglītības iestāde ""Vāverīte""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,800605,44,44,,,,,,1,,,,,,1,1,,,,,,1,1,31,2,,,,,,,2,,,2,,,,,1,,,1,,
BALDONES NOVADS,4312901006,Baldones Mūzikas pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,800605,22,28,,1,,,,7,,1,,,,,,,,,,,,,,,,,3,,1,,,,,,,,,,,,,,15,
BALDONES NOVADS,4313901125,Baldones vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,800605,54,72,,,,,,17,,1,,,,1,,,,,,,,,,,,,,4,1,,1,,,,,,,,,,,,21,26
BALTINAVAS NOVADS,4213900440,Baltinavas vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,384400,30,40,,,,,,5,,1,,,,,,3,,,,,1,1,4,1,,,,1,1,,1,,,,,,,,,,,,7,14
BALVU NOVADS,4201901936,"Balvu pirmsskolas izglītības iestāde ""Sienāzītis""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,380201,18,18,,,,,,,,,,,,,,,,,,,,1,14,,,,,,,,1,,,,,,,,,1,,1,,
BALVU NOVADS,4201902019,"Kubulu pirmsskolas izglītības iestāde ""Ieviņa""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,380258,11,12,,,,,,,,,,,1,,,,,,,,,1,8,,,,,,,,1,,,,,,,,,,1,,,
BALVU NOVADS,4201902098,Bērzkalnes pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,380248,5,6,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,1,,,,,,,,,,,1,,
BALVU NOVADS,4201902111,"Balvu pirmsskolas izglītības iestāde ""Pīlādzītis""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,380201,33,34,,,,,,,,,,,,,,,,,,,,1,25,2,,,,,,,3,,,,1,,,,,1,,1,,
BALVU NOVADS,4211903357,Balvu sākumskola,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,Pašvaldība ,380201,43,55,,,,,,8,,1,,,,1,,,,,,,,,,,,,37,1,,,2,,1,1,,,,,,2,,1,,
BALVU NOVADS,4212900426,Stacijas pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,380258,29,44,,,,,,8,4,1,,,,,,,,1,,,,,,,,,,1,1,,2,,,1,,,,,,,,,25,
BALVU NOVADS,4213900436,Bērzpils vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,380250,20,34,,,,,,5,3,1,,,,,,,,,,,,,5,,,,,,1,,1,,1,1,,,,,,1,,,7,8
BALVU NOVADS,4213900439,Tilžas vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,380286,37,53,,1,,,,8,3,1,,,,1,,,,,2,,,1,6,,,,,1,1,,1,,1,1,1,,,,,,,,18,6
BALVU NOVADS,4219900434,Balvu Valsts ģimnāzija,Vispārējās izglītības iestāde,Valsts ģimnāzija,Pašvaldība ,380201,46,82,,,,,,8,2,1,,,1,1,,,,,,,,,,,,,,3,1,,,,1,,,,,,,,,,27,37
BALVU NOVADS,4231903046,Balvu profesionālā un vispārizglītojošā vidusskola,Profesionālās pamata un vidējās izglītības iestāde,Profesionālās vidējās izglītības iestāde,Pašvaldība ,380201,47,83,,2,,,,12,4,1,,,,,,,,,,,,,,,,29,,,1,,,1,1,,1,,,,,1,,,4,26
BAUSKAS NOVADS,4501901477,"Bauskas novada pašvaldības pirmsskolas izglītības iestāde ""Zīlīte""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,400201,47,54,,,,,,,,,,,,1,,,,1,,,,3,38,3,,,,,,,4,,,2,,,,,,1,,1,,
BAUSKAS NOVADS,4501901562,"Bauskas novada pašvaldības pirmsskolas izglītības iestāde ""Pasaulīte""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,400201,33,39,,,,,,,,,,,,1,,,,1,,,,2,24,3,,,,1,1,,2,,,4,,,,,,,,,,
BAUSKAS NOVADS,4511903232,Mežotnes sākumskola,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,Pašvaldība ,400272,10,21,,,,,,3,,1,,,,,,,,,,,,1,6,1,,,,,1,,1,,,,,,,,,,,,7,
BAUSKAS NOVADS,4512901302,Vecsaules pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,400292,31,50,,,,,,5,,1,,,,1,,,1,,,1,,2,8,2,,,,3,1,,1,,,,,,,,,,,,24,
BAUSKAS NOVADS,4512901306,Griķu pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,400250,34,54,,,,,,7,,,,,,1,,,1,,,,,4,13,4,,,,3,1,,2,,,,,,,,,,,,18,
BAUSKAS NOVADS,4512901308,Codes pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,400252,27,46,,,,,,5,,1,,,,1,,,,,6,,,2,4,2,,,,2,1,,1,,,,,,,,,,,,21,
BAUSKAS NOVADS,4512901315,Bauskas pilsētas pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,400201,37,54,,,,,,10,,1,,,,1,2,,,,3,,,,,,,,,2,1,,1,,,,,,,,,,,,33,
BAUSKAS NOVADS,4512903239,"Bauskas novada pašvaldības vispārējās izglītības iestāde ""Uzvaras pamatskola""",Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,400260,28,51,,3,,,,5,,1,,,,,1,,,1,1,,,1,6,5,,,4,,1,,2,,,,4,,,,,,,,16,
