novada kods,Izglītības iestāde,Centralizētais eksāmens,vidējais vērtējums,skaits,<5%,5-9%,10-19%,20-29%,30-39%,40-49%,50-59%,60-69%,70-79%,80-89%,90-100%
176,Aglonas Katoļu ģimnāzija,Centralizētais eksāmens krievu valodā 12.klasei,79.2,1,,,,,,,,,1,,
176,Aglonas Katoļu ģimnāzija,Centralizētais eksāmens latviešu valodā 12.klasei,47.7,1,,,,,,1,,,,,
176,Aglonas Katoļu ģimnāzija,Centralizētais eksāmens matemātikā 12.klasei,48.5,1,,,,,,1,,,,,
176,Aglonas vidusskola,Centralizētais eksāmens angļu valodā 12.klasē,62.9,6,,,,,,1,2,,3,,
176,Aglonas vidusskola,Centralizētais eksāmens krievu valodā 12.klasei,82.9,9,,,,,,,,,3,6,
176,Aglonas vidusskola,Centralizētais eksāmens angļu valodā optimālajā līmenī,31.7,9,,,,6,1,1,1,,,,
176,Aglonas vidusskola,Centralizētais eksāmens latviešu valodā 12.klasei,57.9,10,,,,1,2,1,2,1,,3,
176,Aglonas vidusskola,Centralizētais eksāmens matemātikā 12.klasei,64.2,10,,,,,,,6,1,1,2,
176,Aglonas vidusskola,Centralizētais eksāmens ķīmijā 12.klasē,48.0,2,,,,,,1,1,,,,
176,Aglonas vidusskola,Centralizētais eksāmens bioloģijā 12.klasei,53.3,2,,,,,,,2,,,,
102,Aizkraukles novada vidusskola,Centralizētais eksāmens angļu valodā 12.klasē,75.6,29,,,,,,1,3,5,7,9,4
102,Aizkraukles novada vidusskola,Centralizētais eksāmens krievu valodā 12.klasei,85.1,2,,,,,,,,,1,,1
102,Aizkraukles novada vidusskola,Centralizētais eksāmens angļu valodā optimālajā līmenī,66.2,29,,,,,1,4,5,9,2,7,1
102,Aizkraukles novada vidusskola,Centralizētais eksāmens latviešu valodā 12.klasei,59.5,30,,,,1,2,5,6,7,6,3,
102,Aizkraukles novada vidusskola,Centralizētais eksāmens latviešu valodā (mazākumtautību izglītības programmās) 9. klasei,77.1,14,,,,,,1,1,,4,8,
102,Aizkraukles novada vidusskola,Centralizētais eksāmens matemātikā 12.klasei,44.3,30,,1,2,3,5,7,7,3,1,1,
102,Aizkraukles novada vidusskola,Centralizētais eksāmens matemātikā optimālajā līmenī,39.5,33,,1,3,12,3,5,1,4,1,3,
102,Aizkraukles novada vidusskola,Centralizētais eksāmens latviešu valodā optimālajā līmenī,58.3,38,,,,,7,4,9,9,6,2,1
102,Aizkraukles novada vidusskola,Centralizētais eksāmens bioloģijā 12.klasei,52.3,2,,,,,,1,,1,,,
102,Aizkraukles novada vidusskola,Centralizētais eksāmens fizikā 12.klasē,45.6,3,,,,,1,1,1,,,,
102,Aizkraukles Profesionālā vidusskola (prof.),Centralizētais eksāmens angļu valodā 12.klasē,41.9,40,,,8,1,14,3,6,6,2,,
102,Aizkraukles Profesionālā vidusskola (prof.),Centralizētais eksāmens latviešu valodā 12.klasei,34.9,40,,,4,11,13,5,6,1,,,
102,Aizkraukles Profesionālā vidusskola (prof.),Centralizētais eksāmens matemātikā 12.klasei,14.8,43,2,8,22,11,,,,,,,
102,Aizkraukles Profesionālā vidusskola (prof.),Centralizētais eksāmens matemātikā vispārīgajā līmenī,22.9,17,,3,3,9,1,1,,,,,
128,Aizputes vidusskola,Centralizētais eksāmens angļu valodā 12.klasē,77.7,22,,,,,,1,1,1,10,6,3
128,Aizputes vidusskola,Centralizētais eksāmens angļu valodā optimālajā līmenī,68.1,11,,,,,1,1,1,2,1,5,
128,Aizputes vidusskola,Centralizētais eksāmens latviešu valodā 12.klasei,63.1,22,,,,,,4,7,5,2,4,
128,Aizputes vidusskola,Centralizētais eksāmens matemātikā 12.klasei,47.6,22,,,1,2,7,3,2,4,2,1,
128,Aizputes vidusskola,Centralizētais eksāmens Latvijas un pasaules vēsturē 12.klasei,80.7,2,,,,,,,,1,,,1
128,Aizputes vidusskola,Centralizētais eksāmens matemātikā optimālajā līmenī,26.0,10,,,5,,3,1,1,,,,
128,Aizputes vidusskola,Centralizētais eksāmens fizikā 12.klasē,45.5,4,,,,,2,1,,,1,,
128,Aizputes vidusskola,Centralizētais eksāmens bioloģijā 12.klasei,64.2,3,,,,,,,1,2,,,
144,Aknīstes vidusskola,Centralizētais eksāmens angļu valodā 12.klasē,59.9,7,,,1,,,1,,2,3,,
144,Aknīstes vidusskola,Centralizētais eksāmens krievu valodā 12.klasei,50.9,2,,,,,1,,,1,,,
144,Aknīstes vidusskola,Centralizētais eksāmens latviešu valodā 12.klasei,48.2,9,,,,2,3,,,2,2,,
144,Aknīstes vidusskola,Centralizētais eksāmens matemātikā 12.klasei,25.0,9,,,6,,1,,2,,,,
144,Aknīstes vidusskola,Centralizētais eksāmens matemātikā optimālajā līmenī,15.1,8,,3,2,3,,,,,,,
144,Aknīstes vidusskola,Centralizētais eksāmens latviešu valodā optimālajā līmenī,55.7,7,,,,,1,1,1,4,,,
144,Aknīstes vidusskola,Centralizētais eksāmens bioloģijā 12.klasei,52.0,1,,,,,,,1,,,,
122,Alfrēda Kalniņa Cēsu Mūzikas vidusskola (prof.),Centralizētais eksāmens angļu valodā 12.klasē,76.0,19,,,,,,,4,2,3,8,2
122,Alfrēda Kalniņa Cēsu Mūzikas vidusskola (prof.),Centralizētais eksāmens latviešu valodā 12.klasei,65.4,19,,,,,,3,4,5,4,2,1
122,Alfrēda Kalniņa Cēsu Mūzikas vidusskola (prof.),Centralizētais eksāmens matemātikā 12.klasei,28.7,21,,,7,5,5,3,,1,,,
122,Alfrēda Kalniņa Cēsu Mūzikas vidusskola (prof.),Centralizētais eksāmens matemātikā vispārīgajā līmenī,44.2,10,,1,1,,2,2,2,1,,1,
158,Alojas Ausekļa vidusskola,Centralizētais eksāmens angļu valodā 12.klasē,83.6,10,,,,,,,1,,2,4,3
158,Alojas Ausekļa vidusskola,Centralizētais eksāmens krievu valodā 12.klasei,75.3,1,,,,,,,,,1,,
158,Alojas Ausekļa vidusskola,Centralizētais eksāmens angļu valodā optimālajā līmenī,45.5,4,,,1,,,2,,,,1,
158,Alojas Ausekļa vidusskola,Centralizētais eksāmens latviešu valodā 12.klasei,67.4,11,,,,,,2,1,3,3,2,
158,Alojas Ausekļa vidusskola,Centralizētais eksāmens matemātikā 12.klasei,41.9,11,,,,1,5,2,,3,,,
107,Alūksnes novada vidusskola,Centralizētais eksāmens angļu valodā 12.klasē,48.2,14,,,1,,5,3,2,,2,1,
107,Alūksnes novada vidusskola,Centralizētais eksāmens krievu valodā 12.klasei,68.1,6,,,,,,,1,2,3,,
107,Alūksnes novada vidusskola,Centralizētais eksāmens angļu valodā optimālajā līmenī,40.5,30,,1,1,9,6,3,4,5,1,,
107,Alūksnes novada vidusskola,Centralizētais eksāmens latviešu valodā 12.klasei,45.9,20,,,1,1,4,8,3,2,,1,
107,Alūksnes novada vidusskola,Centralizētais eksāmens matemātikā 12.klasei,22.3,21,,4,9,3,3,1,,,1,,
107,Alūksnes novada vidusskola,Centralizētais eksāmens matemātikā optimālajā līmenī,16.3,30,2,7,11,8,2,,,,,,
107,Alūksnes novada vidusskola,Centralizētais eksāmens latviešu valodā optimālajā līmenī,51.0,30,,,,,3,9,13,4,1,,
163,Andreja Eglīša Ļaudonas vidusskola,Centralizētais eksāmens angļu valodā 12.klasē,67.4,11,,,,,1,1,1,2,4,2,
163,Andreja Eglīša Ļaudonas vidusskola,Centralizētais eksāmens krievu valodā 12.klasei,73.4,4,,,,,,,1,,2,1,
163,Andreja Eglīša Ļaudonas vidusskola,Centralizētais eksāmens latviešu valodā 12.klasei,59.9,15,,,,,1,4,2,3,5,,
163,Andreja Eglīša Ļaudonas vidusskola,Centralizētais eksāmens matemātikā 12.klasei,36.6,15,,,,7,3,2,2,1,,,
163,Andreja Eglīša Ļaudonas vidusskola,Centralizētais eksāmens fizikā 12.klasē,39.3,1,,,,,1,,,,,,
102,Andreja Upīša Skrīveru vidusskola,Centralizētais eksāmens angļu valodā 12.klasē,79.2,24,,,,,,,2,3,4,13,2
102,Andreja Upīša Skrīveru vidusskola,Centralizētais eksāmens krievu valodā 12.klasei,67.8,2,,,,,,,,1,1,,
102,Andreja Upīša Skrīveru vidusskola,Centralizētais eksāmens angļu valodā optimālajā līmenī,75.6,21,,,,,1,2,,3,4,8,3
102,Andreja Upīša Skrīveru vidusskola,Centralizētais eksāmens latviešu valodā 12.klasei,66.0,26,,,,,,3,8,6,1,8,
102,Andreja Upīša Skrīveru vidusskola,Centralizētais eksāmens matemātikā 12.klasei,57.8,26,,,,4,1,4,6,2,4,4,1
102,Andreja Upīša Skrīveru vidusskola,Centralizētais eksāmens matemātikā optimālajā līmenī,52.0,21,,,,2,4,5,4,1,4,,1
102,Andreja Upīša Skrīveru vidusskola,Centralizētais eksāmens latviešu valodā optimālajā līmenī,59.3,21,,,,,,5,7,5,2,2,
102,Andreja Upīša Skrīveru vidusskola,Centralizētais eksāmens fizikā 12.klasē,71.0,2,,,,,,,,1,,1,
102,Andreja Upīša Skrīveru vidusskola,Centralizētais eksāmens Latvijas un pasaules vēsturē 12.klasei,80.2,1,,,,,,,,,,1,
102,Andreja Upīša Skrīveru vidusskola,Centralizētais eksāmens ķīmijā 12.klasē,78.0,1,,,,,,,,,1,,
127,Auces vidusskola,Centralizētais eksāmens angļu valodā 12.klasē,72.4,17,,,,1,,1,1,3,5,5,1
127,Auces vidusskola,Centralizētais eksāmens krievu valodā 12.klasei,77.4,6,,,,,,,,1,3,2,
127,Auces vidusskola,Centralizētais eksāmens angļu valodā optimālajā līmenī,70.1,11,,,,,,3,,1,3,4,
127,Auces vidusskola,Centralizētais eksāmens latviešu valodā 12.klasei,65.6,21,,,,,1,2,1,8,7,2,
127,Auces vidusskola,Centralizētais eksāmens matemātikā 12.klasei,45.2,21,,,2,1,4,7,2,3,2,,
127,Auces vidusskola,Centralizētais eksāmens matemātikā optimālajā līmenī,39.6,11,,,1,2,4,1,1,2,,,
127,Auces vidusskola,Centralizētais eksāmens latviešu valodā optimālajā līmenī,61.9,11,,,,,,1,4,3,3,,
127,Auces vidusskola,Centralizētais eksāmens fizikā 12.klasē,59.0,2,,,,,,,2,,,,
127,Auces vidusskola,Centralizētais eksāmens bioloģijā 12.klasei,43.7,2,,,,,,2,,,,,
127,Auces vidusskola,Centralizētais eksāmens Latvijas un pasaules vēsturē 12.klasei,78.5,2,,,,,,,,,2,,
127,Auces vidusskola,Centralizētais eksāmens ķīmijā 12.klasē,52.7,1,,,,,,,1,,,,
180,Austrumlatvijas Tehnoloģiju vidusskola,Centralizētais eksāmens angļu valodā 12.klasē,78.0,29,,,,,,2,3,1,6,11,6
180,Austrumlatvijas Tehnoloģiju vidusskola,Centralizētais eksāmens krievu valodā 12.klasei,91.0,4,,,,,,,,,,1,3
180,Austrumlatvijas Tehnoloģiju vidusskola,Centralizētais eksāmens latviešu valodā 12.klasei,69.4,30,,,,,,2,5,10,7,4,2
180,Austrumlatvijas Tehnoloģiju vidusskola,Centralizētais eksāmens matemātikā 12.klasei,82.5,30,,,,,,1,1,2,3,17,6
180,Austrumlatvijas Tehnoloģiju vidusskola,Centralizētais eksāmens fizikā 12.klasē,53.7,4,,,,,,2,1,1,,,
180,Austrumlatvijas Tehnoloģiju vidusskola,Centralizētais eksāmens bioloģijā 12.klasei,62.0,2,,,,,,,1,1,,,
180,Austrumlatvijas Tehnoloģiju vidusskola,Centralizētais eksāmens ķīmijā 12.klasē,50.7,1,,,,,,,1,,,,
111,Ādažu vidusskola,Centralizētais eksāmens angļu valodā 12.klasē,78.6,53,,,,,,1,4,10,10,20,8
111,Ādažu vidusskola,Centralizētais eksāmens krievu valodā 12.klasei,86.6,7,,,,,,,,,2,1,4
111,Ādažu vidusskola,Centralizētais eksāmens angļu valodā optimālajā līmenī,71.0,40,,,,,2,2,5,10,5,12,4
111,Ādažu vidusskola,Centralizētais eksāmens latviešu valodā 12.klasei,66.9,58,,,,,2,8,6,19,13,5,5
111,Ādažu vidusskola,Centralizētais eksāmens latviešu valodā (mazākumtautību izglītības programmās) 9. klasei,78.7,15,,,,,,,1,2,4,6,2
111,Ādažu vidusskola,Centralizētais eksāmens matemātikā 12.klasei,57.4,58,,,1,6,5,6,15,5,12,5,3
111,Ādažu vidusskola,Centralizētais eksāmens matemātikā optimālajā līmenī,43.1,61,,3,6,11,9,8,6,9,5,4,
111,Ādažu vidusskola,Centralizētais eksāmens ķīmijā 12.klasē,45.2,6,,,,2,,2,1,,1,,
111,Ādažu vidusskola,Centralizētais eksāmens latviešu valodā optimālajā līmenī,63.0,49,,,,,4,4,11,11,14,5,
111,Ādažu vidusskola,Centralizētais eksāmens fizikā 12.klasē,47.7,4,,,,,1,2,1,,,,
111,Ādažu vidusskola,Centralizētais eksāmens bioloģijā 12.klasei,47.4,8,,,,2,,2,,4,,,
187,Āgenskalna Valsts ģimnāzija,Centralizētais eksāmens angļu valodā 12.klasē,84.6,148,,,,,,,2,6,30,70,40
187,Āgenskalna Valsts ģimnāzija,Centralizētais eksāmens krievu valodā 12.klasei,83.8,3,,,,,,,,,1,1,1
187,Āgenskalna Valsts ģimnāzija,Centralizētais eksāmens latviešu valodā 12.klasei,79.2,154,,,,,,,9,12,56,63,14
187,Āgenskalna Valsts ģimnāzija,Centralizētais eksāmens matemātikā 12.klasei,70.6,154,,,,3,9,9,15,29,38,33,18
187,Āgenskalna Valsts ģimnāzija,Centralizētais eksāmens ķīmijā 12.klasē,68.9,24,,,,,,1,5,8,5,4,1
187,Āgenskalna Valsts ģimnāzija,Centralizētais eksāmens fizikā 12.klasē,61.5,22,,,,,2,3,3,7,4,3,
187,Āgenskalna Valsts ģimnāzija,Centralizētais eksāmens bioloģijā 12.klasei,63.9,30,,,,,,3,7,10,7,3,
166,Babītes vidusskola,Centralizētais eksāmens angļu valodā 12.klasē,81.5,35,,,,,,2,,1,11,11,10
166,Babītes vidusskola,Centralizētais eksāmens krievu valodā 12.klasei,87.2,4,,,,,,,,,,3,1
166,Babītes vidusskola,Centralizētais eksāmens latviešu valodā 12.klasei,59.7,35,,,,,2,3,13,9,7,1,
166,Babītes vidusskola,Centralizētais eksāmens matemātikā 12.klasei,60.4,35,,,,3,9,1,4,3,6,4,5
166,Babītes vidusskola,Centralizētais eksāmens Latvijas un pasaules vēsturē 12.klasei,75.7,2,,,,,,,,,1,1,
166,Babītes vidusskola,Centralizētais eksāmens matemātikā optimālajā līmenī,45.0,38,,,9,3,6,5,5,2,5,,3
166,Babītes vidusskola,Centralizētais eksāmens bioloģijā 12.klasei,51.8,7,,,,,,3,3,1,,,
166,Babītes vidusskola,Centralizētais eksāmens ķīmijā 12.klasē,45.3,2,,,,,1,,1,,,,
166,Babītes vidusskola,Centralizētais eksāmens fizikā 12.klasē,68.0,4,,,,,,,1,,3,,
155,Baldones vidusskola,Centralizētais eksāmens angļu valodā 12.klasē,82.0,18,,,,,,,2,,5,7,4
155,Baldones vidusskola,Centralizētais eksāmens angļu valodā optimālajā līmenī,69.5,11,,,,1,,1,,3,1,5,
155,Baldones vidusskola,Centralizētais eksāmens krievu valodā 12.klasei,84.3,3,,,,,,,,,1,1,1
155,Baldones vidusskola,Centralizētais eksāmens latviešu valodā 12.klasei,64.8,19,,,,,,3,5,5,3,2,1
155,Baldones vidusskola,Centralizētais eksāmens vācu valodā optimālajā līmenī,85.8,1,,,,,,,,,,1,
155,Baldones vidusskola,Centralizētais eksāmens matemātikā 12.klasei,41.1,19,,,1,5,1,9,,1,2,,
155,Baldones vidusskola,Centralizētais eksāmens matemātikā optimālajā līmenī,37.6,14,,,2,5,1,3,2,1,,,
155,Baldones vidusskola,Centralizētais eksāmens latviešu valodā optimālajā līmenī,59.7,14,,,,,,2,5,5,1,1,
155,Baldones vidusskola,Centralizētais eksāmens bioloģijā 12.klasei,40.7,1,,,,,,1,,,,,
155,Baložu vidusskola,Centralizētais eksāmens angļu valodā 12.klasē,79.0,14,,,,,,,2,,4,6,2
155,Baložu vidusskola,Centralizētais eksāmens krievu valodā 12.klasei,87.5,6,,,,,,,,,,4,2
155,Baložu vidusskola,Centralizētais eksāmens latviešu valodā 12.klasei,48.4,15,,,,,3,6,3,3,,,
155,Baložu vidusskola,Centralizētais eksāmens latviešu valodā (mazākumtautību izglītības programmās) 9. klasei,63.6,18,,,,,,3,3,5,7,,
155,Baložu vidusskola,Centralizētais eksāmens matemātikā 12.klasei,39.6,15,,,2,2,3,5,1,2,,,
155,Baložu vidusskola,Centralizētais eksāmens ķīmijā 12.klasē,45.7,2,,,,1,,,,1,,,
155,Baložu vidusskola,Centralizētais eksāmens fizikā 12.klasē,35.3,3,,,,1,1,1,,,,,
155,Baložu vidusskola,Centralizētais eksāmens bioloģijā 12.klasei,47.3,2,,,,,,1,1,,,,
155,Baložu vidusskola,Centralizētais eksāmens Latvijas un pasaules vēsturē 12.klasei,39.6,1,,,,,1,,,,,,
115,Baltinavas vidusskola,Centralizētais eksāmens angļu valodā 12.klasē,75.6,4,,,,,,,,1,2,1,
115,Baltinavas vidusskola,Centralizētais eksāmens angļu valodā optimālajā līmenī,63.0,8,,,,,,2,2,1,2,1,
115,Baltinavas vidusskola,Centralizētais eksāmens latviešu valodā 12.klasei,71.3,4,,,,,,,,1,2,1,
115,Baltinavas vidusskola,Centralizētais eksāmens matemātikā 12.klasei,55.0,4,,,,,,,3,1,,,
115,Baltinavas vidusskola,Centralizētais eksāmens bioloģijā 12.klasei,36.0,1,,,,,1,,,,,,
115,Balvu profesionālā un vispārizglītojošā vidusskola (prof.),Centralizētais eksāmens angļu valodā 12.klasē,53.6,21,,,1,4,1,2,3,5,4,,1
115,Balvu profesionālā un vispārizglītojošā vidusskola (prof.),Centralizētais eksāmens krievu valodā 12.klasei,71.3,15,,,,,,,2,6,4,3,
115,Balvu profesionālā un vispārizglītojošā vidusskola (prof.),Centralizētais eksāmens angļu valodā optimālajā līmenī,37.6,9,,,2,2,2,2,,,,1,
115,Balvu profesionālā un vispārizglītojošā vidusskola (prof.),Centralizētais eksāmens latviešu valodā 12.klasei,43.2,37,,1,1,5,10,9,7,2,2,,
115,Balvu profesionālā un vispārizglītojošā vidusskola (prof.),Centralizētais eksāmens matemātikā 12.klasei,37.3,39,2,4,5,1,9,5,6,7,,,
115,Balvu profesionālā un vispārizglītojošā vidusskola (prof.),Centralizētais eksāmens matemātikā vispārīgajā līmenī,46.9,5,,,,,3,,,1,1,,
115,Balvu profesionālā un vispārizglītojošā vidusskola (prof.),Centralizētais eksāmens latviešu valodā optimālajā līmenī,41.4,7,,,,1,2,2,2,,,,
115,Balvu Valsts ģimnāzija,Centralizētais eksāmens angļu valodā 12.klasē,75.0,35,,,,,,1,5,4,10,12,3
115,Balvu Valsts ģimnāzija,Centralizētais eksāmens krievu valodā 12.klasei,81.9,9,,,,,,,,,4,5,
115,Balvu Valsts ģimnāzija,Centralizētais eksāmens angļu valodā optimālajā līmenī,68.4,36,,,,,3,7,2,4,4,15,1
115,Balvu Valsts ģimnāzija,Centralizētais eksāmens latviešu valodā 12.klasei,63.2,40,,,,,1,7,6,14,8,3,1
115,Balvu Valsts ģimnāzija,Centralizētais eksāmens matemātikā 12.klasei,40.2,40,,,4,9,9,6,6,3,2,1,
115,Balvu Valsts ģimnāzija,Centralizētais eksāmens matemātikā optimālajā līmenī,41.7,33,,,5,4,7,6,6,3,,2,
115,Balvu Valsts ģimnāzija,Centralizētais eksāmens latviešu valodā optimālajā līmenī,55.2,13,,,,,1,4,4,2,1,1,
115,Balvu Valsts ģimnāzija,Centralizētais eksāmens fizikā 12.klasē,55.8,3,,,,,,,2,1,,,
115,Balvu Valsts ģimnāzija,Centralizētais eksāmens bioloģijā 12.klasei,59.6,3,,,,,,,2,1,,,
116,Bauskas 2. vidusskola,Centralizētais eksāmens angļu valodā 12.klasē,72.1,16,,,,,,1,2,4,4,3,2
116,Bauskas 2. vidusskola,Centralizētais eksāmens krievu valodā 12.klasei,84.3,2,,,,,,,,,,2,
116,Bauskas 2. vidusskola,Centralizētais eksāmens latviešu valodā 12.klasei,60.5,18,,,,1,1,3,3,5,2,2,1
116,Bauskas 2. vidusskola,Centralizētais eksāmens matemātikā 12.klasei,45.6,18,,,,3,3,6,2,2,2,,
116,Bauskas Valsts ģimnāzija,Centralizētais eksāmens angļu valodā 12.klasē,81.7,48,,,,,,1,1,6,6,25,9
116,Bauskas Valsts ģimnāzija,Centralizētais eksāmens angļu valodā optimālajā līmenī,70.2,19,,,,,,1,4,5,4,5,
116,Bauskas Valsts ģimnāzija,Centralizētais eksāmens krievu valodā 12.klasei,74.0,3,,,,,,,,1,1,1,
116,Bauskas Valsts ģimnāzija,Centralizētais eksāmens latviešu valodā 12.klasei,62.9,51,,,,,2,4,14,16,9,5,1
116,Bauskas Valsts ģimnāzija,Centralizētais eksāmens matemātikā 12.klasei,47.9,51,,,,10,10,8,10,6,4,,3
116,Bauskas Valsts ģimnāzija,Centralizētais eksāmens matemātikā optimālajā līmenī,35.9,48,,,11,9,10,10,4,3,,,1
116,Bauskas Valsts ģimnāzija,Centralizētais eksāmens latviešu valodā optimālajā līmenī,63.9,51,,,,,,4,15,17,11,4,
116,Bauskas Valsts ģimnāzija,Centralizētais eksāmens bioloģijā 12.klasei,49.3,4,,,,,1,1,1,1,,,
116,Bauskas Valsts ģimnāzija,Centralizētais eksāmens fizikā 12.klasē,57.1,3,,,,,,2,,,,1,
108,Bebrenes vispārizglītojošā un profesionālā vidusskola,Centralizētais eksāmens angļu valodā 12.klasē,69.0,4,,,,,,1,,1,1,,1
108,Bebrenes vispārizglītojošā un profesionālā vidusskola,Centralizētais eksāmens latviešu valodā 12.klasei,46.8,7,,,,,3,1,1,2,,,
108,Bebrenes vispārizglītojošā un profesionālā vidusskola,Centralizētais eksāmens matemātikā 12.klasei,39.9,7,,,,2,1,3,,1,,,
108,Bebrenes vispārizglītojošā un profesionālā vidusskola,Centralizētais eksāmens bioloģijā 12.klasei,43.6,3,,,,,1,2,,,,,
108,Biķernieku pamatskola,Centralizētais eksāmens latviešu valodā (mazākumtautību izglītības programmās) 9. klasei,51.5,8,,,,,1,3,2,2,,,
144,Brāļu Skrindu Atašienes vidusskola,Centralizētais eksāmens angļu valodā 12.klasē,90.2,5,,,,,,,,,,3,2
144,Brāļu Skrindu Atašienes vidusskola,Centralizētais eksāmens krievu valodā 12.klasei,61.0,4,,,,,,1,1,1,,1,
144,Brāļu Skrindu Atašienes vidusskola,Centralizētais eksāmens latviešu valodā 12.klasei,59.5,9,,,,,2,,2,3,,2,
144,Brāļu Skrindu Atašienes vidusskola,Centralizētais eksāmens matemātikā 12.klasei,47.8,7,,,1,1,,1,,4,,,
198,Brocēnu vidusskola,Centralizētais eksāmens angļu valodā 12.klasē,77.4,18,,,,,1,,1,3,2,8,3
198,Brocēnu vidusskola,Centralizētais eksāmens angļu valodā optimālajā līmenī,69.5,24,,,,,,3,4,5,4,5,3
198,Brocēnu vidusskola,Centralizētais eksāmens latviešu valodā 12.klasei,61.3,18,,,,,,6,3,6,1,2,
198,Brocēnu vidusskola,Centralizētais eksāmens matemātikā 12.klasei,52.4,18,,,,1,6,2,3,,5,1,
198,Brocēnu vidusskola,Centralizētais eksāmens matemātikā optimālajā līmenī,40.1,24,,,2,8,3,4,3,1,2,1,
198,Brocēnu vidusskola,Centralizētais eksāmens ķīmijā 12.klasē,72.0,1,,,,,,,,,1,,
198,Brocēnu vidusskola,Centralizētais eksāmens latviešu valodā optimālajā līmenī,67.5,24,,,,,,1,6,7,3,6,1
198,Brocēnu vidusskola,Centralizētais eksāmens bioloģijā 12.klasei,72.0,2,,,,,,,,1,1,,
198,Brocēnu vidusskola,Centralizētais eksāmens fizikā 12.klasē,59.3,1,,,,,,,1,,,,
163,Cesvaines vidusskola,Centralizētais eksāmens angļu valodā 12.klasē,75.4,11,,,,,1,,,,6,4,
163,Cesvaines vidusskola,Centralizētais eksāmens angļu valodā optimālajā līmenī,52.0,7,,,,,1,3,1,2,,,
163,Cesvaines vidusskola,Centralizētais eksāmens latviešu valodā 12.klasei,64.8,11,,,,,,2,1,3,4,1,
163,Cesvaines vidusskola,Centralizētais eksāmens matemātikā 12.klasei,52.7,11,,,,,3,4,1,,1,2,
163,Cesvaines vidusskola,Centralizētais eksāmens latviešu valodā optimālajā līmenī,55.4,5,,,,,1,1,1,1,1,,
163,Cesvaines vidusskola,Centralizētais eksāmens bioloģijā 12.klasei,58.7,3,,,,,,1,1,,,1,
163,Cesvaines vidusskola,Centralizētais eksāmens ķīmijā 12.klasē,69.0,2,,,,,,,1,,,1,
163,Cesvaines vidusskola,Centralizētais eksāmens fizikā 12.klasē,43.3,1,,,,,,1,,,,,
122,Cēsis (prof.) (strukt.),Centralizētais eksāmens angļu valodā 12.klasē,61.9,47,,,2,3,1,5,7,13,6,10,
122,Cēsis (prof.) (strukt.),Centralizētais eksāmens latviešu valodā 12.klasei,41.7,46,,,2,6,13,15,8,,2,,
122,Cēsis (prof.) (strukt.),Centralizētais eksāmens matemātikā 12.klasei,20.5,49,2,13,12,12,5,3,2,,,,
122,Cēsis (prof.) (strukt.),Centralizētais eksāmens matemātikā vispārīgajā līmenī,24.5,11,,3,2,1,3,1,1,,,,
122,Cēsu 2. vakara (maiņu) vidusskola,Centralizētais eksāmens angļu valodā 12.klasē,46.7,1,,,,,,1,,,,,
122,Cēsu 2. vakara (maiņu) vidusskola,Centralizētais eksāmens krievu valodā 12.klasei,72.1,2,,,,,,,1,,,,1
122,Cēsu 2. vakara (maiņu) vidusskola,Centralizētais eksāmens latviešu valodā 12.klasei,42.0,3,,,,,1,2,,,,,
122,Cēsu 2. vakara (maiņu) vidusskola,Centralizētais eksāmens matemātikā 12.klasei,35.6,3,,,1,1,,,,1,,,
122,Cēsu Pilsētas vidusskola,Centralizētais eksāmens angļu valodā 12.klasē,64.5,18,,,,,2,3,3,3,4,3,
122,Cēsu Pilsētas vidusskola,Centralizētais eksāmens krievu valodā 12.klasei,70.5,3,,,,,,,,2,1,,
122,Cēsu Pilsētas vidusskola,Centralizētais eksāmens latviešu valodā 12.klasei,55.4,18,,,,,2,3,7,4,2,,
122,Cēsu Pilsētas vidusskola,Centralizētais eksāmens matemātikā 12.klasei,24.3,18,,3,4,6,1,3,1,,,,
122,Cēsu Valsts ģimnāzija,Centralizētais eksāmens angļu valodā 12.klasē,82.3,63,,,,,,2,2,5,9,28,17
122,Cēsu Valsts ģimnāzija,Centralizētais eksāmens krievu valodā 12.klasei,84.9,3,,,,,,,,,1,2,
122,Cēsu Valsts ģimnāzija,Centralizētais eksāmens angļu valodā optimālajā līmenī,82.0,63,,,,,,,3,5,14,30,11
122,Cēsu Valsts ģimnāzija,Centralizētais eksāmens latviešu valodā 12.klasei,73.5,64,,,,,,2,8,10,23,16,5
122,Cēsu Valsts ģimnāzija,Centralizētais eksāmens matemātikā 12.klasei,64.0,64,,,,2,5,9,8,12,12,12,4
122,Cēsu Valsts ģimnāzija,Centralizētais eksāmens Latvijas un pasaules vēsturē 12.klasei,75.9,1,,,,,,,,,1,,
122,Cēsu Valsts ģimnāzija,Centralizētais eksāmens matemātikā optimālajā līmenī,64.7,45,,,,1,4,5,5,14,8,5,3
122,Cēsu Valsts ģimnāzija,Centralizētais eksāmens latviešu valodā optimālajā līmenī,72.0,63,,,,1,,2,5,17,19,15,4
122,Cēsu Valsts ģimnāzija,Centralizētais eksāmens fizikā 12.klasē,58.0,7,,,,,1,1,2,1,2,,
122,Cēsu Valsts ģimnāzija,Centralizētais eksāmens bioloģijā 12.klasei,63.7,7,,,,,,1,1,3,2,,
122,Cēsu Valsts ģimnāzija,Centralizētais eksāmens ķīmijā 12.klasē,76.2,3,,,,,,,,1,1,,1
